rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.1,5.0,0.0,1.0,1.0,0.0
0.2,0.1,5.0,0.0,1.0,1.0,0.0
0.5,0.1,5.0,0.0,1.0,1.0,0.0
1.0,0.1,5.0,0.0,1.0,1.0,0.0
2.0,0.1,5.0,0.0,1.0,1.0,0.0
0.1,0.1,5.0,0.0024000000000000002,0.997813737136129,0.997818615349243,0.02
0.2,0.1,5.0,0.0048000000000000004,0.9956280360793653,0.9956381008652592,0.02
0.5,0.1,5.0,0.012,0.9890764279865665,0.98910182535009,0.02
1.0,0.1,5.0,0.024,0.978175681571405,0.9782258786840926,0.02
2.0,0.1,5.0,0.048,0.9564458885126512,0.9565431179461289,0.02
0.1,0.1,5.0,0.0048000000000000004,0.9955967407734391,0.9956381008652592,0.04
0.2,0.1,5.0,0.009600000000000001,0.991197258079732,0.9912797011426079,0.04
0.5,0.1,5.0,0.024,0.9780239074077187,0.9782258786840926,0.04
1.0,0.1,5.0,0.048,0.9561538545348998,0.9565431179461289,0.04
2.0,0.1,5.0,0.096,0.9127514538075288,0.9134723843962643,0.04
0.1,0.1,5.0,0.007200000000000001,0.9933171819520079,0.9934584612269515,0.06
0.2,0.1,5.0,0.014400000000000001,0.9866454596111234,0.9869248386170217,0.06
0.5,0.1,5.0,0.036,0.966699557080614,0.967372767331324,0.06
1.0,0.1,5.0,0.072,0.9336923553320793,0.9349568120295578,0.06
2.0,0.1,5.0,0.144,0.8686106791305129,0.8708326287899372,0.06
0.1,0.1,5.0,0.009600000000000001,0.9909407816084258,0.9912797011426079,0.08
0.2,0.1,5.0,0.019200000000000002,0.9819079543476571,0.982573551549686,0.08
0.5,0.1,5.0,0.048,0.9549691079210018,0.9565431179461289,0.08
1.0,0.1,5.0,0.096,0.9106045084068719,0.9134723843962643,0.08
2.0,0.1,5.0,0.192,0.8239331188250416,0.8286746254014428,0.08
0.1,0.1,5.0,0.012000000000000002,0.9884299662137859,0.98910182535009,0.1
0.2,0.1,5.0,0.024000000000000004,0.9769169153832029,0.9782258786840926,0.1
0.5,0.1,5.0,0.06000000000000001,0.942710794711431,0.9457375771237966,0.1
1.0,0.1,5.0,0.12000000000000002,0.8867707724342853,0.8920956084253276,0.1
2.0,0.1,5.0,0.24000000000000005,0.7788299918285739,0.7870557952810575,0.1
0.1,0.1,5.0,0.014400000000000001,0.9857426648423665,0.9869248386170217,0.12
0.2,0.1,5.0,0.028800000000000003,0.9716010794108624,0.9738818592521952,0.12
0.5,0.1,5.0,0.072,0.9298209774600197,0.9349568120295578,0.12
1.0,0.1,5.0,0.144,0.8621443193118665,0.8708326287899372,0.12
2.0,0.1,5.0,0.288,0.7335650667500485,0.7460409071893204,0.12
0.1,0.1,5.0,0.016800000000000002,0.9828313591118842,0.9847487457409803,0.14
0.2,0.1,5.0,0.033600000000000005,0.9658865084870054,0.9695415329806186,0.14
0.5,0.1,5.0,0.084,0.9162202506691387,0.9242015110400201,0.14
1.0,0.1,5.0,0.168,0.836747295057658,0.8496899833571085,0.14
2.0,0.1,5.0,0.336,0.6884927770964111,0.7057027259765979,0.14
0.1,0.1,5.0,0.019200000000000002,0.9796423653043476,0.982573551549686,0.16
0.2,0.1,5.0,0.038400000000000004,0.9596985877197671,0.9652049400969269,0.16
0.5,0.1,5.0,0.096,0.901858084853562,0.9134723843962643,0.16
1.0,0.1,5.0,0.192,0.8106585364885119,0.8286746254014428,0.16
2.0,0.1,5.0,0.384,0.6440038407466255,0.6661225306204008,0.16
0.1,0.1,5.0,0.021599999999999998,0.9761157652179848,0.9803992609011952,0.18
0.2,0.1,5.0,0.043199999999999995,0.9529651889411759,0.9608721213359438,0.18
0.5,0.1,5.0,0.10800000000000001,0.8867143710064945,0.9027701648676646,0.18
1.0,0.1,5.0,0.21600000000000003,0.7839973620689202,0.8077939458601839,0.18
2.0,0.1,5.0,0.43200000000000005,0.6004865347843444,0.6273903913417307,0.18
0.1,0.1,5.0,0.024000000000000004,0.9721862473136519,0.9782258786840926,0.2
0.2,0.1,5.0,0.04800000000000001,0.9456204966263668,0.9565431179461289,0.2
0.5,0.1,5.0,0.12000000000000002,0.8707976509960216,0.8920956084253276,0.2
1.0,0.1,5.0,0.24000000000000005,0.7569075962496455,0.7870557952810575,0.2
2.0,0.1,5.0,0.4800000000000001,0.5583020265085967,0.5896050579220461,0.2
0.1,0.1,5.0,0.0264,0.9677850396171358,0.9760534098176848,0.22
0.2,0.1,5.0,0.0528,0.9376087964402489,0.9522179716960065,0.22
0.5,0.1,5.0,0.132,0.8541408118463725,0.8814494949238566,0.22
1.0,0.1,5.0,0.264,0.7295444321017048,0.7664685050257153,0.22
2.0,0.1,5.0,0.528,0.5177695893210547,0.5528732751237135,0.22
0.1,0.1,5.0,0.028800000000000003,0.9628428843698877,0.9738818592521952,0.24
0.2,0.1,5.0,0.057600000000000005,0.9288871892578313,0.947896724880647,0.24
0.5,0.1,5.0,0.144,0.8367955967663417,0.8708326287899372,0.24
1.0,0.1,5.0,0.288,0.7020648140218353,0.7460409071893204,0.24
2.0,0.1,5.0,0.576,0.47915773614811086,0.5173083168179434,0.24
0.1,0.1,5.0,0.031200000000000006,0.9572934640588507,0.9717112319689586,0.26
0.2,0.1,5.0,0.06240000000000001,0.919426975197143,0.9435794203281984,0.26
0.5,0.1,5.0,0.156,0.8188270877027544,0.8602458397160185,0.26
1.0,0.1,5.0,0.312,0.6746209741771558,0.7257823525805565,0.26
2.0,0.1,5.0,0.624,0.44267889541348593,0.4830275351330673,0.26
0.1,0.1,5.0,0.033600000000000005,0.9510766900766885,0.9695415329806186,0.28
0.2,0.1,5.0,0.06720000000000001,0.9092135484978776,0.939266101406469,0.28
0.5,0.1,5.0,0.168,0.8003088650913452,0.8496899833571085,0.28
1.0,0.1,5.0,0.336,0.6473563318911197,0.7057027259765979,0.28
2.0,0.1,5.0,0.672,0.40848656964750196,0.4501487765856065,0.28
0.1,0.1,5.0,0.036,0.9441411557571497,0.967372767331324,0.3
0.2,0.1,5.0,0.072,0.8982451963828061,0.9349568120295578,0.3
0.5,0.1,5.0,0.18,0.7813191223778405,0.8391659420284376,0.3
1.0,0.1,5.0,0.36,0.620403172331924,0.6858124577258358,0.3
2.0,0.1,5.0,0.72,0.3766747267784847,0.41878564445547206,0.3
0.1,0.1,5.0,0.038400000000000004,0.9364454620529948,0.9652049400969269,0.32
0.2,0.1,5.0,0.07680000000000001,0.8865312665394549,0.930651596664532,0.32
0.5,0.1,5.0,0.192,0.7619377364032086,0.8286746254014428,0.32
1.0,0.1,5.0,0.384,0.5938813090974852,0.6661225306204008,0.32
2.0,0.1,5.0,0.768,0.34727959407224296,0.3890417929618396,0.32
0.1,0.1,5.0,0.0408,0.927958458731953,0.9630380563851815,0.34
0.2,0.1,5.0,0.0816,0.8740901200998424,0.9263505003381511,0.34
0.5,0.1,5.0,0.20400000000000001,0.7422441629643194,0.8182169711952133,0.34
