alpha,q,fe
0.95,0.7048454047658499,0.11254166714227379
0.95,0.6445746695870965,0.08906935072768342
0.95,0.5719966162176653,0.0628282208932786
0.95,0.4845980833264829,0.032449399727236275
0.95,0.3793527206181426,-0.00020327510193302208
0.95,0.25261619535631386,-0.03734676246016052
0.95,0.09999999999999998,-0.07768539960904301
0.95,0.0,-0.09908652194450944
0.99,0.9999,0.29831582270099266
0.99,0.9998795799434764,0.2992109755803514
0.99,0.9998549900998686,0.2998739745192902
0.99,0.999825378996297,0.3007327616833607
0.99,0.9997897212886387,0.3016519922665635
0.99,0.9997467822569217,0.3025546244145874
0.99,0.9996950750506575,0.30338468957944786
0.99,0.9996328092036472,0.30425379745339703
0.99,0.9995578286354826,0.305055250044796
0.99,0.999467536992917,0.3059750058212376
0.99,0.9993588077459036,0.3067902406347796
0.99,0.9992278759251922,0.30729470091877403
0.99,0.9990702077526843,0.3081275444739665
0.99,0.9988803436502306,0.30850994722783
0.99,0.9986517091907379,0.3090996935009291
0.99,0.9983763874453843,0.3097909243327764
0.99,0.9980448448440078,0.3102762882642186
0.99,0.9976456010560306,0.3101402870088995
0.99,0.9971648314608815,0.3104156546885172
0.99,0.9965858884426547,0.31080584904087183
0.99,0.9958887249328668,0.31089713982122996
0.99,0.9950492002403184,0.311133170073309
0.99,0.9940382441310223,0.3105212679771209
0.99,0.9928208502127792,0.3097378737654764
0.99,0.9913548637683164,0.30905657407646664
0.99,0.9895895220632662,0.30777074414711797
0.99,0.9874636965842105,0.3062819151947679
0.99,0.9849037763407389,0.30466893819571306
0.99,0.981821118936592,0.302019756658625
0.99,0.9781089811480899,0.29915003763686354
0.99,0.9736388227249426,0.2957695509338921
0.99,0.9682558554250951,0.29169658784103386
0.99,0.9617736831599729,0.28695373947601316
0.99,0.9539678476543572,0.2810782051619936
0.99,0.944568056126357,0.27387948723533584
0.99,0.9332488218552406,0.26631356162621045
0.99,0.9196181935479261,0.25710313284518616
0.99,0.9032041832357389,0.2464380093877949
0.99,0.8834384227400172,0.23423874804339276
0.99,0.8596364827787537,0.21998551189442825
0.99,0.8309741732236922,0.2042270878579129
0.99,0.7964590038565238,0.18555546611504775
0.99,0.7548958173953708,0.16495810503187922
0.99,0.7048454047658499,0.14141992779499074
0.99,0.6445746695870965,0.1149404734165797
0.99,0.5719966162176653,0.08570322415496445
0.99,0.4845980833264829,0.05287477929445867
0.99,0.3793527206181426,0.016891965845740962
0.99,0.25261619535631386,-0.02294776995481033
0.99,0.09999999999999998,-0.06696275464517482
0.99,0.0,-0.091246564012403
