rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
2,0.0,5.0,0.065,0.9346819074361685,0.935,0.027083333333333334
2,0.0,10.0,0.065,0.93436797908666,0.935,0.029545454545454545
2,0.0,100.0,0.065,0.9294680260959803,0.935,0.03217821782178218
2,0.0,1000.0,0.065,0.9138164980225949,0.935,0.032467532467532464
2,0.0,Inf,0.065,0.9046124999999908,0.935,0.0325
2,0.0,1.0,0.07,0.9299206315692636,0.9299999999999999,0.0175
2,0.0,2.0,0.07,0.9298414984680679,0.9299999999999999,0.023333333333333334
2,0.0,5.0,0.07,0.9296053999222751,0.9299999999999999,0.02916666666666667
2,0.0,10.0,0.07,0.9292169273786002,0.9299999999999999,0.03181818181818182
2,0.0,100.0,0.07,0.9233030356966233,0.9299999999999999,0.034653465346534656
2,0.0,1000.0,0.07,0.9063487431302615,0.9299999999999999,0.03496503496503497
2,0.0,Inf,0.07,0.8974500000000064,0.9299999999999999,0.035
2,0.0,1.0,0.075,0.9249029493828168,0.925,0.01875
2,0.0,2.0,0.075,0.924806236845044,0.925,0.024999999999999998
2,0.0,5.0,0.075,0.924518031383712,0.925,0.03125
2,0.0,10.0,0.075,0.924044818510753,0.925,0.03409090909090909
2,0.0,100.0,0.075,0.9170306821406295,0.925,0.03712871287128713
2,0.0,1000.0,0.075,0.898902505063511,0.925,0.037462537462537464
2,0.0,Inf,0.075,0.8903124999999971,0.925,0.0375
2,0.0,1.0,0.08,0.9198829169077858,0.92,0.02
2,0.0,2.0,0.08,0.919766306677118,0.92,0.02666666666666667
2,0.0,5.0,0.08,0.9194192347701533,0.92,0.03333333333333333
2,0.0,10.0,0.08,0.9188506737887109,0.92,0.03636363636363637
2,0.0,100.0,0.08,0.9106579019049925,0.92,0.039603960396039604
2,0.0,1000.0,0.08,0.8914836158395245,0.92,0.03996003996003996
2,0.0,Inf,0.08,0.8831999999999979,0.92,0.04
2,0.0,1.0,0.085,0.914860413058712,0.915,0.02125
2,0.0,2.0,0.085,0.9147214728420607,0.915,0.028333333333333335
2,0.0,5.0,0.085,0.9143084755856257,0.915,0.03541666666666667
2,0.0,10.0,0.085,0.913633587942142,0.915,0.03863636363636364
2,0.0,100.0,0.085,0.9041924093405689,0.915,0.04207920792079208
2,0.0,1000.0,0.085,0.8840959253111589,0.915,0.042457542457542456
2,0.0,Inf,0.085,0.8761125000000018,0.915,0.0425
2,0.0,1.0,0.09,0.9098353215400516,0.91,0.0225
2,0.0,2.0,0.09,0.9096715107421883,0.91,0.03
2,0.0,5.0,0.09,0.9091852398982421,0.91,0.0375
2,0.0,10.0,0.09,0.9083927760141791,0.91,0.0409090909090909
2,0.0,100.0,0.09,0.8976423780537158,0.91,0.04455445544554455
2,0.0,1000.0,0.09,0.8767418933960391,0.91,0.04495504495504495
2,0.0,Inf,0.09,0.8690499999999919,0.91,0.045
2,0.0,1.0,0.095,0.9048075188738964,0.905,0.02375
2,0.0,2.0,0.095,0.9046161932068223,0.905,0.03166666666666667
2,0.0,5.0,0.095,0.9040490810197893,0.905,0.03958333333333333
2,0.0,10.0,0.095,0.9031275131969918,0.905,0.04318181818181818
2,0.0,100.0,0.095,0.891016171725725,0.905,0.04702970297029703
2,0.0,1000.0,0.095,0.8694230130484966,0.905,0.047452547452547456
2,0.0,Inf,0.095,0.8620125000000058,0.905,0.0475
2,0.0,1.0,0.1,0.899776918889808,0.9,0.025
2,0.0,2.0,0.1,0.8995553394455077,0.9,0.03333333333333333
2,0.0,5.0,0.1,0.8988995564879565,0.9,0.041666666666666664
2,0.0,10.0,0.1,0.8978371732085184,0.9,0.045454545454545456
2,0.0,100.0,0.1,0.8843221288236905,0.9,0.04950495049504951
2,0.0,1000.0,0.1,0.8621401069858459,0.9,0.04995004995004995
2,0.0,Inf,0.1,0.8549999999999944,0.9,0.05
2,0.0,1.0,0.105,0.8947434107863402,0.895,0.02625
2,0.0,2.0,0.105,0.894488747183889,0.895,0.034999999999999996
2,0.0,5.0,0.105,0.8937362676328924,0.895,0.043750000000000004
2,0.0,10.0,0.105,0.8925212199441406,0.895,0.04772727272727273
2,0.0,100.0,0.105,0.8775683965966163,0.895,0.05198019801980198
2,0.0,1000.0,0.105,0.8548935360967697,0.895,0.05244755244755245
2,0.0,Inf,0.105,0.8480125000000039,0.895,0.0525
2,0.0,1.0,0.11,0.8897068977584015,0.89,0.0275
2,0.0,2.0,0.11,0.8894162350286177,0.89,0.03666666666666667
2,0.0,5.0,0.11,0.8885588507632608,0.89,0.04583333333333334
2,0.0,10.0,0.11,0.8871792072921296,0.89,0.05
2,0.0,100.0,0.11,0.8707628099678278,0.89,0.054455445544554455
2,0.0,1000.0,0.11,0.8476833460457637,0.89,0.054945054945054944
2,0.0,Inf,0.11,0.8410500000000005,0.89,0.055
2,0.0,1.0,0.115,0.8846672879746458,0.885,0.02875
2,0.0,2.0,0.115,0.8843376326435493,0.885,0.03833333333333334
2,0.0,5.0,0.115,0.8833669773605082,0.885,0.04791666666666667
2,0.0,10.0,0.115,0.8818107784441217,0.885,0.052272727272727276
2,0.0,100.0,0.115,0.8639128082890083,0.885,0.05693069306930693
2,0.0,1000.0,0.115,0.840509370537576,0.885,0.05744255744255744
2,0.0,Inf,0.115,0.8341124999999995,0.885,0.0575
2,0.0,1.0,0.12,0.8796244946024854,0.88,0.03
2,0.0,2.0,0.12,0.879252780813826,0.88,0.04
2,0.0,5.0,0.12,0.8781603541661257,0.88,0.049999999999999996
2,0.0,10.0,0.12,0.8764156647127181,0.88,0.05454545454545454
2,0.0,100.0,0.12,0.8570253829881258,0.88,0.0594059405940594
2,0.0,1000.0,0.12,0.8333713040934271,0.88,0.059940059940059943
2,0.0,Inf,0.12,0.8272000000000032,0.88,0.06
2,0.0,1.0,0.125,0.8745784358287052,0.875,0.03125
2,0.0,2.0,0.125,0.8741615314940587,0.875,0.041666666666666664
2,0.0,5.0,0.125,0.8729387231603739,0.875,0.052083333333333336
2,0.0,10.0,0.125,0.8709936838770354,0.875,0.056818181818181816
