rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.2,0.0,1.0,0.0,1.0,1.0,0.0
0.2,0.0,2.0,0.0,1.0,1.0,0.0
0.2,0.0,5.0,0.0,1.0,1.0,0.0
0.2,0.0,10.0,0.0,1.0,1.0,0.0
0.2,0.0,100.0,0.0,1.0,1.0,0.0
0.2,0.0,1000.0,0.0,1.0,1.0,0.0
0.2,0.0,Inf,0.0,1.0,1.0,0.0
0.2,0.0,1.0,0.005,0.9949971306162497,0.995,0.012499999999999999
0.2,0.0,2.0,0.005,0.9949941871146519,0.995,0.016666666666666666
0.2,0.0,5.0,0.005,0.9949846848237578,0.995,0.020833333333333332
0.2,0.0,10.0,0.005,0.9949690119156893,0.995,0.022727272727272728
0.2,0.0,100.0,0.005,0.9946741872867406,0.995,0.02475247524752475
0.2,0.0,1000.0,0.005,0.9907600400908578,0.995,0.024975024975024972
0.2,0.0,Inf,0.005,0.970125000000106,0.995,0.024999999999999998
0.2,0.0,1.0,0.01,0.9899753753287793,0.99,0.024999999999999998
0.2,0.0,2.0,0.01,0.9899506367760456,0.99,0.03333333333333333
0.2,0.0,5.0,0.01,0.9898753496523751,0.99,0.041666666666666664
0.2,0.0,10.0,0.01,0.9897481155659413,0.99,0.045454545454545456
0.2,0.0,100.0,0.01,0.9870669255412908,0.99,0.0495049504950495
0.2,0.0,1000.0,0.01,0.9637627237510966,0.99,0.049950049950049945
0.2,0.0,Inf,0.01,0.9404999999998408,0.99,0.049999999999999996
0.2,0.0,1.0,0.015,0.9849167763547638,0.985,0.0375
0.2,0.0,2.0,0.015,0.9848328343876382,0.985,0.049999999999999996
0.2,0.0,5.0,0.015,0.9845764563364869,0.985,0.06249999999999999
0.2,0.0,10.0,0.015,0.9841353778891092,0.985,0.06818181818181818
0.2,0.0,100.0,0.015,0.9740656477136695,0.985,0.07425742574257425
0.2,0.0,1000.0,0.015,0.930736747503004,0.985,0.07492507492507493
0.2,0.0,Inf,0.015,0.9111249999999739,0.985,0.075
0.2,0.0,1.0,0.02,0.9798031053646329,0.98,0.049999999999999996
0.2,0.0,2.0,0.02,0.9796033783538504,0.98,0.06666666666666667
