rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
1.0,0.0,5.0,0.09,0.9067593981107754,0.91,0.075
2.0,0.0,5.0,0.18,0.8144708380038503,0.8200000000000001,0.075
0.1,0.0,5.0,0.009600000000000001,0.9899447003349445,0.9904,0.08
0.2,0.0,5.0,0.019200000000000002,0.9799051876714422,0.9808,0.08
0.5,0.0,5.0,0.048,0.9498778582753579,0.952,0.08
1.0,0.0,5.0,0.096,0.9001095718069521,0.904,0.08
2.0,0.0,5.0,0.192,0.8014622729266093,0.808,0.08
0.1,0.0,5.0,0.0102,0.9892514856346761,0.9898,0.085
0.2,0.0,5.0,0.0204,0.9785240896714745,0.9796,0.085
0.5,0.0,5.0,0.051000000000000004,0.9464621704318111,0.949,0.085
1.0,0.0,5.0,0.10200000000000001,0.8933861668447767,0.898,0.085
2.0,0.0,5.0,0.20400000000000001,0.7883668253319279,0.796,0.085
0.1,0.0,5.0,0.010799999999999999,0.9885458587404394,0.9892,0.09
0.2,0.0,5.0,0.021599999999999998,0.9771195527292851,0.9784,0.09
0.5,0.0,5.0,0.054000000000000006,0.9429969476739846,0.946,0.09
1.0,0.0,5.0,0.10800000000000001,0.8865874727965809,0.892,0.09
2.0,0.0,5.0,0.21600000000000003,0.7751876374871325,0.784,0.09
0.1,0.0,5.0,0.011400000000000002,0.987826897716997,0.9886,0.095
0.2,0.0,5.0,0.022800000000000004,0.975690013519996,0.9772,0.095
0.5,0.0,5.0,0.05700000000000001,0.9394798852838094,0.943,0.095
1.0,0.0,5.0,0.11400000000000002,0.879712187303383,0.886,0.095
2.0,0.0,5.0,0.22800000000000004,0.7619285464103158,0.772,0.095
0.1,0.0,5.0,0.012000000000000002,0.9870936475217671,0.988,0.1
0.2,0.0,5.0,0.024000000000000004,0.9742338865520379,0.976,0.1
0.5,0.0,5.0,0.06000000000000001,0.9359087872630849,0.94,0.1
1.0,0.0,5.0,0.12000000000000002,0.8727594093289366,0.88,0.1
2.0,0.0,5.0,0.24000000000000005,0.7485939918445979,0.76,0.1
0.1,0.0,5.0,0.0126,0.9863451184250664,0.9874,0.105
0.2,0.0,5.0,0.0252,0.9727495661755369,0.9748,0.105
0.5,0.0,5.0,0.063,0.932281632295252,0.937,0.105
1.0,0.0,5.0,0.126,0.8657286280036021,0.874,0.105
2.0,0.0,5.0,0.252,0.7351889269882025,0.748,0.105
0.1,0.0,5.0,0.0132,0.9855802845732929,0.9868,0.11
0.2,0.0,5.0,0.0264,0.971235429174003,0.9736,0.11
0.5,0.0,5.0,0.066,0.9285965085551169,0.9339999999999999,0.11
1.0,0.0,5.0,0.132,0.8586197075227955,0.868,0.11
2.0,0.0,5.0,0.264,0.7217187338791118,0.736,0.11
0.1,0.0,5.0,0.013800000000000002,0.9847980827278948,0.9862,0.115
0.2,0.0,5.0,0.027600000000000003,0.9696898379479734,0.9724,0.115
0.5,0.0,5.0,0.069,0.9248516668028341,0.931,0.115
1.0,0.0,5.0,0.138,0.851432868679265,0.862,0.115
2.0,0.0,5.0,0.276,0.7081891447728379,0.724,0.115
0.1,0.0,5.0,0.014400000000000001,0.9839974112180646,0.9856,0.12
0.2,0.0,5.0,0.028800000000000003,0.9681111442874222,0.9712,0.12
0.5,0.0,5.0,0.072,0.9210455171249419,0.928,0.12
1.0,0.0,5.0,0.144,0.8441686676776025,0.856,0.12
2.0,0.0,5.0,0.288,0.6946061703489703,0.712,0.12
0.1,0.0,5.0,0.015000000000000003,0.9831771291459973,0.985,0.125
0.2,0.0,5.0,0.030000000000000006,0.9664976937145713,0.97,0.125
0.5,0.0,5.0,0.075,0.9171766344639166,0.925,0.125
1.0,0.0,5.0,0.15,0.83682797290554,0.85,0.125
2.0,0.0,5.0,0.3,0.6809760351584284,0.7,0.125
0.1,0.0,5.0,0.015600000000000003,0.982336055887499,0.9843999999999999,0.13
0.2,0.0,5.0,0.031200000000000006,0.9648478303625359,0.9688,0.13
0.5,0.0,5.0,0.078,0.9132437625832537,0.922,0.13
1.0,0.0,5.0,0.156,0.8294119403247966,0.844,0.13
2.0,0.0,5.0,0.312,0.6673051203947777,0.688,0.13
0.1,0.0,5.0,0.016200000000000003,0.9814729709308152,0.9838,0.135
0.2,0.0,5.0,0.032400000000000005,0.9631599023385947,0.9676,0.135
0.5,0.0,5.0,0.081,0.9092458164049899,0.919,0.135
1.0,0.0,5.0,0.162,0.8219219881022031,0.838,0.135
2.0,0.0,5.0,0.324,0.6535999137868338,0.6759999999999999,0.135
0.1,0.0,5.0,0.016800000000000002,0.9805866140972033,0.9832,0.14
0.2,0.0,5.0,0.033600000000000005,0.9614322549551961,0.9664,0.14
0.5,0.0,5.0,0.084,0.9051818827109275,0.916,0.14
1.0,0.0,5.0,0.168,0.814359771038454,0.832,0.14
2.0,0.0,5.0,0.336,0.639866966235172,0.6639999999999999,0.14
0.1,0.0,5.0,0.0174,0.9796756861846376,0.9826,0.145
0.2,0.0,5.0,0.0348,0.9596632801050761,0.9652000000000001,0.145
0.5,0.0,5.0,0.087,0.901051219250531,0.913,0.145
1.0,0.0,5.0,0.174,0.806727155274725,0.8260000000000001,0.145
2.0,0.0,5.0,0.348,0.626112868593756,0.652,0.145
0.1,0.0,5.0,0.018,0.9787388500730642,0.982,0.15
0.2,0.0,5.0,0.036,0.957851364817682,0.964,0.15
0.5,0.0,5.0,0.09,0.8968532523434153,0.91,0.15
1.0,0.0,5.0,0.18,0.7990261936747656,0.8200000000000001,0.15
2.0,0.0,5.0,0.36,0.6123441582684582,0.64,0.15
0.1,0.0,5.0,0.0186,0.9777747323232052,0.9814,0.155
0.2,0.0,5.0,0.0372,0.9559949324098952,0.9628,0.155
0.5,0.0,5.0,0.093,0.8925875731013202,0.907,0.155
1.0,0.0,5.0,0.186,0.7912591021969861,0.8140000000000001,0.155
2.0,0.0,5.0,0.372,0.5985674003692825,0.628,0.155
0.1,0.0,5.0,0.019200000000000002,0.9767819252937779,0.9808,0.16
0.2,0.0,5.0,0.038400000000000004,0.9540924409495677,0.9616,0.16
0.5,0.0,5.0,0.096,0.8882539324223762,0.904,0.16
1.0,0.0,5.0,0.192,0.7834282374929065,0.808,0.16
2.0,0.0,5.0,0.384,0.5847890819234365,0.616,0.16
0.1,0.0,5.0,0.0198,0.975758989791987,0.9802,0.165
0.2,0.0,5.0,0.0396,0.9521423895306642,0.9604,0.165
0.5,0.0,5.0,0.099,0.8838522349290021,0.901,0.165
1.0,0.0,5.0,0.198,0.7755360759229766,0.802,0.165
2.0,0.0,5.0,0.396,0.571015620362918,0.604,0.165
0.1,0.0,5.0,0.0204,0.9747044426345636,0.9796,0.17
0.2,0.0,5.0,0.0408,0.9501433243084366,0.9592,0.17
0.5,0.0,5.0,0.10200000000000001,0.8793825320300385,0.898,0.17
1.0,0.0,5.0,0.20400000000000001,0.7675851939696954,0.796,0.17
2.0,0.0,5.0,0.40800000000000003,0.5572533497447827,0.592,0.17
0.1,0.0,5.0,0.020999999999999998,0.9736168136510653,0.979,0.175
0.2,0.0,5.0,0.041999999999999996,0.9480938441843537,0.958,0.175
0.5,0.0,5.0,0.10499999999999998,0.8748450142895169,0.895,0.175
1.0,0.0,5.0,0.20999999999999996,0.7595782503358729,0.79,0.175
2.0,0.0,5.0,0.41999999999999993,0.5435085099827182,0.5800000000000001,0.175
0.1,0.0,5.0,0.021599999999999998,0.9724945789918412,0.9784,0.18
0.2,0.0,5.0,0.043199999999999995,0.9459926060408861,0.9568,0.18
