alpha,q,fe
0.7,0.999825378996297,-0.09502442536720412
0.7,0.9997897212886387,-0.09104150335623973
0.7,0.9997467822569217,-0.08648934089429594
0.7,0.9996950750506575,-0.08117367142847143
0.7,0.9996328092036472,-0.07719009558591727
0.7,0.9995578286354826,-0.07217598617941112
0.7,0.999467536992917,-0.06723882574436346
0.7,0.9993588077459036,-0.0630198765406319
0.7,0.9992278759251922,-0.05799470091016257
0.7,0.9990702077526843,-0.05366659646535066
0.7,0.9988803436502306,-0.050721666212652394
0.7,0.9986517091907379,-0.0442525173396362
0.7,0.9983763874453843,-0.0395897398079863
0.7,0.9980448448440078,-0.03542424676654621
0.7,0.9976456010560306,-0.03135529913241675
0.7,0.9971648314608815,-0.02576817986257174
0.7,0.9965858884426547,-0.023347063727819584
0.7,0.9958887249328668,-0.017751610757321457
0.7,0.9950492002403184,-0.011951459777914786
0.7,0.9940382441310223,-0.00844883891880377
0.7,0.9928208502127792,-0.003273486516788937
0.7,0.9913548637683164,-0.000521630073935353
0.7,0.9895895220632662,0.00390709038816861
0.7,0.9874636965842105,0.008273534397706839
0.7,0.9849037763407389,0.013605177556066161
0.7,0.981821118936592,0.01596667638022564
0.7,0.9781089811480899,0.019610715457742955
0.7,0.9736388227249426,0.022983476987751217
0.7,0.9682558554250951,0.026247323284893154
0.7,0.9617736831599729,0.028123578023552087
0.7,0.9539678476543572,0.03175328518483722
0.7,0.944568056126357,0.034028627327360395
0.7,0.9332488218552406,0.03471493022373312
0.7,0.9196181935479261,0.03628255479912723
0.7,0.9032041832357389,0.03606463453692721
0.7,0.8834384227400172,0.03457305408428579
0.7,0.8596364827787537,0.031964805928147655
0.7,0.8309741732236922,0.02776630478881667
0.7,0.7964590038565238,0.021863790347562168
0.7,0.7548958173953708,0.013945820168236228
0.7,0.7048454047658499,0.004981785911239267
0.7,0.6445746695870965,-0.005036718654946898
0.7,0.5719966162176653,-0.024098496087128482
0.7,0.4845980833264829,-0.04193677733087827
0.7,0.3793527206181426,-0.06277044292017579
0.7,0.25261619535631386,-0.08651127956442732
0.7,0.09999999999999998,-0.11366110638688166
