rho,beta,alpha_BO,alpha_MNNE,alpha_LR_BO,alpha_LR_MNNE
0.073,1,0.140671,0.27498356139351954,0.9635,1.8834490506405448
0.074,1,0.14252399999999998,0.2779703088985003,0.963,1.8781777628277045
0.075,1,0.144375,0.28094332240704295,0.9625,1.8729554827136197
0.076,1,0.146224,0.283902732580521,0.962,1.8677811353981646
0.077,1,0.148071,0.28684866724288083,0.9615,1.86265368339533
0.078,1,0.149916,0.2897812514791339,0.961,1.8575721248662431
0.079,1,0.151759,0.2927006077292137,0.9605,1.8525354919570487
0.08,1,0.1536,0.2956068558774713,0.9599999999999999,1.8475428492341956
0.081,1,0.15543900000000002,0.29850011333806,0.9595000000000001,1.8425932922102468
0.082,1,0.157276,0.30138049513645615,0.959,1.837685945954001
0.083,1,0.159111,0.3042481139873243,0.9585,1.832819963779062
0.084,1,0.160944,0.30710308036893863,0.958,1.827994526005587
0.085,1,0.162775,0.30994550259435494,0.9574999999999999,1.8232088387903231
0.086,1,0.16460399999999997,0.3127754868795033,0.957,1.818462133020368
0.087,1,0.166431,0.31559313740837497,0.9565,1.813753663266523
0.088,1,0.168256,0.31839855639546194,0.956,1.8090827067923976
0.089,1,0.170079,0.3211918441455841,0.9555000000000001,1.804448562615641
0.09,1,0.1719,0.3239730991112548,0.9550000000000001,1.7998505506180824
0.091,1,0.17371899999999998,0.3267424179476984,0.9544999999999999,1.7952880107016398
0.092,1,0.175536,0.3294998955656564,0.954,1.790760301987263
0.093,1,0.177351,0.3322456251820776,0.9535,1.7862668020541808
0.094,1,0.179164,0.3349796983688125,0.953,1.7818069062170876
0.095,1,0.180975,0.33770220509940163,0.9525,1.777380026838956
0.096,1,0.182784,0.34041323379405686,0.952,1.7729855926773794
0.097,1,0.184591,0.3431128713629209,0.9515,1.7686230482624787
0.098,1,0.186396,0.34580120324769237,0.951,1.7642918533045528
0.099,1,0.188199,0.34847831346168545,0.9505,1.7599914821297244
0.1,1,0.19,0.35114428462840586,0.95,1.7557214231420293
0.101,1,0.19179900000000003,0.3537991980187134,0.9495,1.7514811783104622
0.102,1,0.193596,0.356443133586626,0.9490000000000001,1.7472702626795393
0.103,1,0.19539099999999998,0.35907617000384273,0.9485,1.7430882039021494
0.104,1,0.19718399999999997,0.36169838469302895,0.948,1.7389345417934086
0.105,1,0.19897499999999999,0.364309853859928,0.9475,1.734808827904419
0.106,1,0.200764,0.366910652524354,0.9470000000000001,1.7307106251148774
0.107,1,0.202551,0.36950085455010306,0.9465,1.7266395072434724
0.108,1,0.204336,0.3720805326738432,0.946,1.7225950586752001
0.109,1,0.206119,0.37464975853301963,0.9455,1.7185768740046772
