alpha,q,fe
0.575,0.9998549900998686,-0.31676585215777786
0.575,0.999825378996297,-0.3122740325812543
0.575,0.9997897212886387,-0.3078869363408482
0.575,0.9997467822569217,-0.3029231016014743
0.575,0.9996950750506575,-0.2983453874996641
0.575,0.9996328092036472,-0.2939836843953677
0.575,0.9995578286354826,-0.2893037296610891
0.575,0.999467536992917,-0.28462109225930254
0.575,0.9993588077459036,-0.2800315471539593
0.575,0.9992278759251922,-0.2755386201986454
0.575,0.9990702077526843,-0.27097709442164986
0.575,0.9988803436502306,-0.27000354203296695
0.575,0.9986517091907379,-0.26185100781431037
0.575,0.9983763874453843,-0.2573240799566412
0.575,0.9980448448440078,-0.2528229748792866
0.575,0.9976456010560306,-0.2487810319502135
0.575,0.9971648314608815,-0.2431879274943104
0.575,0.9965858884426547,-0.23831295438499012
0.575,0.9958887249328668,-0.23428370549933075
0.575,0.9950492002403184,-0.22982410875595516
0.575,0.9940382441310223,-0.2254092884823562
0.575,0.9928208502127792,-0.22116906380491885
0.575,0.9913548637683164,-0.2169224508525957
0.575,0.9895895220632662,-0.21275523155242393
0.575,0.9874636965842105,-0.20912100205966971
0.575,0.9849037763407389,-0.20474296280190574
0.575,0.981821118936592,-0.2009055497836364
0.575,0.9781089811480899,-0.19728824322936633
0.575,0.9736388227249426,-0.1940967365384107
0.575,0.9682558554250951,-0.19058692283173922
0.575,0.9617736831599729,-0.18752444270718394
0.575,0.9539678476543572,-0.18552367066188258
0.575,0.944568056126357,-0.18226034314352033
0.575,0.9332488218552406,-0.18094053252997902
0.575,0.9196181935479261,-0.1797255379264247
0.575,0.9032041832357389,-0.17913865863193576
0.575,0.8834384227400172,-0.17926177768005075
0.575,0.8596364827787537,-0.18034856818715742
0.575,0.8309741732236922,-0.1825705119916451
0.575,0.7964590038565238,-0.18603864707821333
0.575,0.7548958173953708,-0.19119937744369966
0.575,0.7048454047658499,-0.19802556294873963
0.575,0.6445746695870965,-0.20674592186799026
0.575,0.5719966162176653,-0.21760991191639384
0.575,0.4845980833264829,-0.23075371807455822
0.575,0.3793527206181426,-0.2463170867158788
0.575,0.25261619535631386,-0.2644538281107738
0.575,0.09999999999999998,-0.2852619202855793
0.575,0.0,-0.2982688733134923
0.615,0.9999,-0.20089799284830234
0.615,0.9998795799434764,-0.1596019967585709
0.615,0.9998549900998686,-0.15158026922185985
0.615,0.999825378996297,-0.15045172013927555
0.615,0.9997897212886387,-0.1495278589260125
0.615,0.9997467822569217,-0.14871079001434007
0.615,0.9996950750506575,-0.14793237559073913
0.615,0.9996328092036472,-0.14697068918224876
0.615,0.9995578286354826,-0.14622266607467005
0.615,0.999467536992917,-0.14533338966668452
0.615,0.9993588077459036,-0.14453562193509673
0.615,0.9992278759251922,-0.14367300630644508
0.615,0.9990702077526843,-0.1429547880502674
0.615,0.9988803436502306,-0.14200201458953998
0.615,0.9986517091907379,-0.14095218640138574
0.615,0.9983763874453843,-0.1402354812937232
0.615,0.9980448448440078,-0.14573380356053367
0.615,0.9976456010560306,-0.1383358948234864
0.615,0.9971648314608815,-0.13776004721254598
0.615,0.9965858884426547,-0.13655074607298567
0.615,0.9958887249328668,-0.13612621128576552
