alpha,mmse
0.0791667,0.9138613417281016
0.108333,0.8993479700787235
0.1375,0.8372393367833858
0.166667,0.8458591009820604
0.195833,0.8143725318218551
0.225,0.7876087269361369
0.254167,0.7092452027564808
0.3125,0.653973447050788
0.341667,0.6208673393143775
0.370834,0.5910470929108474
0.4,0.534652003911809
0.458334,0.4791651872819155
0.487501,0.44141679414459106
0.516667,0.4067201940436517
0.545834,0.3792462286182707
0.575001,0.33124736191842896
0.604167,0.29807640337220953
0.633334,0.26866442349052694
0.662501,0.2336139834151734
0.691667,0.20465359897426003
0.720834,0.17362693324715328
0.750001,0.16111328485586776
0.779168,0.10872902565026793
0.808334,0.10302220708819511
0.837501,0.071050298335747
0.895834,0.03444751314825621
1.0125,0.00041444544654160723
1.04167,0.0003817996413294011
1.07083,0.00043427797869678513
