alpha,mmse
0.1375,0.865711862411083
0.166667,0.8538227323542589
0.195833,0.7977097570444307
0.225,0.7905800371664344
0.254167,0.746972804445812
0.283334,0.710549231660329
0.3125,0.6481335059302462
0.341667,0.646045720078108
0.370834,0.6019425681951948
0.4,0.5504711141584142
0.429167,0.523140603470742
0.458334,0.49172228490350506
0.487501,0.4753196256073895
0.516667,0.41971702281461337
0.545834,0.38562490289409945
0.575001,0.3844938881424576
0.604167,0.3245826526012355
0.633334,0.30629818016287175
0.662501,0.2708346655062843
0.691667,0.24139641831374029
0.720834,0.20802765618716834
0.750001,0.18898529790859328
0.779168,0.16566263655355296
0.808334,0.1359646105988338
0.837501,0.09949148930943125
0.866668,0.08190557380221447
0.895834,0.05999937061053631
0.925001,0.04527972217224625
0.954168,0.027238817273333278
0.983334,0.006283830487472305
1.0125,1.326916598747765e-05
1.04167,8.429255939139002e-08
1.07083,1.9017221544917492e-08
