alpha,mmse
0.05,0.9339629176788092
0.0625,0.9812546454065109
0.075,0.9600889665132648
0.0875,0.930194647633863
0.1,0.8334935952241663
0.1125,0.8232481698597254
0.125,0.7633882922111287
0.1375,0.7451571989812116
0.15,0.7141818135811165
0.1625,0.6414377670177018
0.175,0.5962040405748786
0.1875,0.568597638638389
0.2,0.5195502287805931
0.2125,0.47010438838379076
0.225,0.4520814460181401
0.2375,0.40423103003689476
0.25,0.24121780451094432
0.2625,0.14602974785369255
0.275,0.03785428894553649
0.283334,0.0003739638090301773
0.2875,0.0003865452844531554
0.3,0.0004008548791075572
0.3125,0.0003890819482179794
0.325,0.0004043483543185402
0.3375,0.0003827252107770711
0.341667,0.0003926117622437634
0.35,0.00038262860231933615
0.3625,0.0004056293806743705
0.370834,0.0003947794387649428
0.375,0.00037352270647640363
0.3875,0.0003893059312505267
0.4,0.00039491517187269074
0.4125,0.00038653805942393877
0.425,0.0003783003227582436
0.429167,0.00036509802748062564
0.4375,0.0003517811699446083
0.45,0.0003419102597615587
0.458334,0.0003505799600213499
0.4625,0.00036095401822419643
0.475,0.00039001194951415855
0.4875,0.0003629186494976779
0.487501,0.0003323522817715878
0.516667,0.00031610905162835217
0.545834,0.00033355354410093656
0.575001,0.0003318860175390622
0.604167,0.00032450014277028466
0.633334,0.00028420856167348993
0.662501,0.0003262474330543009
0.691667,0.00026494028669696887
0.720834,0.00028713514531754114
0.750001,0.0002802424705922377
0.779168,0.0003039400403384728
0.808334,0.0002662797954927866
0.837501,0.00023694623308661292
0.866668,0.0002562600026231523
0.895834,0.0002339470054103918
0.925001,0.0002746446193055894
0.954168,0.00024456743293223813
0.983334,0.0002347843610620596
1.0125,0.00020635560529083134
1.04167,0.00021404540577401506
1.07083,0.00023097587969951743
