alpha,mmse
0.05,0.9631559418633913
0.0625,0.9689953197358442
0.075,0.917115050475842
0.0875,0.9149104684470972
0.1,0.9202173987681399
0.1125,0.8986726435503273
0.125,0.9087918870325903
0.1375,0.9216444586596776
0.15,0.8536991733851228
0.1625,0.8618796358597807
0.175,0.7974953009937759
0.1875,0.8302962796183799
0.2,0.7939367308474898
0.2125,0.8037633754480338
0.225,0.7468893286961116
0.2375,0.7904586450445968
0.25,0.7783194024262985
0.2625,0.7369975671334015
0.275,0.7583417933199352
0.2875,0.7495771963460607
0.3,0.719131148278107
0.3125,0.7094952764569169
0.325,0.708619507585106
0.3375,0.6747799467887552
0.35,0.6788970486815489
0.3625,0.6677430243703903
0.375,0.6853141338652945
0.3875,0.6181359715992916
0.4,0.6353673016866259
0.4125,0.6242719578343082
0.425,0.5941220814946823
0.4375,0.5905132459718954
0.45,0.6004353194232466
0.4625,0.565647712161079
0.475,0.5873773120959326
0.4875,0.536559403717423
