alpha,mmse
0.05,0.9785655952852383
0.0625,0.9173848331151605
0.075,0.9031430802762146
0.0875,0.9253840513170928
0.1,0.8073794611803642
0.1125,0.8538398999238304
0.125,0.7190328181631618
0.1375,0.8102298369451207
0.15,0.7625774622477025
0.1625,0.7095341944317871
0.175,0.6764992794034757
0.1875,0.6315106494170534
0.2,0.6620496626721406
0.2125,0.6335967958531185
0.225,0.568775385285402
0.2375,0.5372064152961868
0.25,0.48564986006206307
0.2625,0.44845579509574834
0.275,0.40764152358886246
0.2875,0.39288302891415194
0.3,0.3910565811277862
0.3125,0.3209560262923369
0.325,0.31199023976550855
0.3375,0.2928178295426302
0.35,0.30408709071033135
0.3625,0.24911654691516774
0.375,0.22554085040689484
0.3875,0.22017469300729878
0.4,0.19346355577812413
0.4125,0.17195464275076677
0.425,0.16027346737320283
0.4375,0.15034181254917778
0.45,0.1449977845316067
0.4625,0.1838346452991731
0.475,0.1227312209244775
0.4875,0.11817717081403978
