alpha,mmse
0.05,0.9120912524207568
0.0625,0.9437203388982509
0.075,0.9689988611241832
0.0875,0.9549426560963058
0.1,0.9135862335453004
0.1125,0.8894033647831103
0.125,0.8989853724558264
0.1375,0.9052336898192399
0.15,0.8951112356580039
0.1625,0.8527596515625182
0.175,0.8310319810235671
0.1875,0.8226821644661569
0.2,0.819326298941389
0.2125,0.8038179069028318
0.225,0.8139772095838986
0.2375,0.7943480650180106
0.25,0.7457328151103204
0.2625,0.7471988582733436
0.275,0.7362782073186137
0.2875,0.7159409802265383
0.3,0.7040285577647588
0.3125,0.7073274219638168
0.325,0.6632257766458054
0.3375,0.6799136846465047
0.35,0.6824555873796274
0.3625,0.6403606590285885
0.375,0.6357596779900442
0.3875,0.6532416746860034
0.4,0.6002813766910566
0.4125,0.60844786635999
0.425,0.5753426772171533
0.4375,0.5739740750245321
0.45,0.565378085549962
0.4625,0.5346752182777736
0.475,0.5436243114252165
0.4875,0.6416990872524422
