alpha,mmse
0.05,0.8810395446804384
0.0625,0.9400096019147967
0.075,0.954395636485592
0.0875,0.9461395906834794
0.1,0.9048185603061187
0.1125,0.927493430915859
0.125,0.8526488533365526
0.1375,0.8352586624152704
0.15,0.8509580544610097
0.1625,0.8071706812619439
0.175,0.7342781186880064
0.1875,0.7263462714313642
0.2,0.7091886052966324
0.2125,0.6342678760923528
0.225,0.6947081473870208
0.2375,0.6634205166784047
0.25,0.6111605516808692
0.2625,0.6446003026977888
0.275,0.5765751449215873
0.2875,0.5313382768331109
0.3,0.48844622822949013
0.3125,0.5042388773290255
0.325,0.4483342991396099
0.3375,0.4130026365090669
0.35,0.39874272414192014
0.3625,0.39156550480784896
0.375,0.37516507346439354
0.3875,0.36689679015490334
0.4,0.3469117742202566
0.4125,0.3290200337528974
0.425,0.2839076528426433
0.4375,0.29030180900158487
0.45,0.26800039630692585
0.4625,0.2549427596960239
0.475,0.2149402956160169
0.4875,0.21195755163455174
