alpha,mmse
0.05,1.2790220630474504e+111
0.0625,5.055501754161567e+79
0.075,0.9603099021006573
0.0875,0.9312011379044796
0.1,0.8679606812247821
0.1125,5.1264371715220398
0.125,0.8786405554328508
0.1375,0.7935354692040484
0.15,0.7964768300451461
0.1625,0.737466032824468
0.175,0.6793495227469831
0.1875,0.684982054711734
0.2,0.614695933502846
0.2125,0.6700430905822138
0.225,0.6202398364798946
0.2375,0.5636466126299743
0.25,0.539067471108702
0.2625,0.4838067358449077
0.275,0.4451768865636505
0.2875,0.3918991139019857
0.3,0.37575629677537137
0.3125,0.34799125461858005
0.325,0.2424004232758023
0.3375,0.2175865252170419
0.35,0.057015775571984645
0.3625,0.002104685064490435
0.370834,0.001137551869466724
0.375,0.0009778336933618417
0.3875,0.0008620546483260073
0.4,0.0007460337634450644
0.4125,0.0006821090753907354
0.425,0.0007242284360118105
0.429167,0.0007238105221668059
0.4375,0.0006749316496586517
0.45,0.0006320054812256932
0.458334,0.00061941540660651
0.4625,0.0006178236427966304
0.475,0.0005945597650641932
0.4875,0.0005518094140902277
0.487501,0.0005956027384123506
0.516667,0.00057625782413008
0.545834,0.0005544248981591242
0.575001,0.0005319056417898182
0.604167,0.0004822975135709033
0.633334,0.0004997060165759681
0.662501,0.0004765205943171991
0.691667,0.00046771357985574217
0.720834,0.00047853623651584993
0.750001,0.000480141966019672
0.779168,0.00046818706705479884
0.808334,0.0004696484114877901
0.837501,0.00045382450068868894
0.866668,0.00047563327348202424
0.895834,0.0003846495680763682
0.925001,0.0004557767888744725
0.954168,0.00041510503484891973
0.983334,0.00040055440571806013
1.0125,0.0004724250444310351
1.04167,0.0004254824263085415
1.07083,0.00039515939771405447
