alpha,mmse
0.05,1.0712517508704378
0.0833333,0.9780085928640802
0.116667,0.8928365945645977
0.15,0.906838197661923
0.183333,0.836679151896767
0.216667,0.7881888411499778
0.25,0.7665983512164944
0.283333,0.741465147451276
0.316666,0.7223932564232151
0.35,0.6747488031060811
0.383333,0.6236446358788925
0.416666,0.5480731511382312
0.45,0.5694268005512603
0.483333,0.5289407392957308
0.516666,0.5112062411101801
0.55,0.48025454947823193
0.583333,0.4254026719106202
0.616666,0.4145593246293699
0.649999,0.3912331265701935
0.683333,0.3810578800577955
0.716666,0.37403214752097214
0.749999,0.33616254659696415
0.783333,0.31675593813221614
0.816666,0.30111014600083524
0.849999,0.27933752298832737
0.883333,0.28595778031169333
0.916666,0.2756039248773343
0.949999,0.25745182429022134
0.983332,0.25486878878174496
1.01667,0.2443857938081922
1.05,0.21848394908808186
1.08333,0.22938830949421898
1.11667,0.2226460071882891
1.15,0.21697916358775396
1.18333,0.19883152461468548
1.21667,0.1993147977954012
