rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.5,0.0,1.0,0.055,0.9443728807548647,0.945,0.055
0.5,0.0,2.0,0.055,0.9437418637675614,0.945,0.07333333333333333
0.5,0.0,5.0,0.055,0.9418304638211302,0.945,0.09166666666666667
0.5,0.0,10.0,0.055,0.9386136541916913,0.945,0.1
0.5,0.0,100.0,0.055,0.8975925263646952,0.945,0.10891089108910891
0.5,0.0,1000.0,0.055,0.8519048394722217,0.945,0.10989010989010989
0.5,0.0,Inf,0.055,0.8410499999999974,0.945,0.11
0.5,0.0,1.0,0.06,0.9391907331554428,0.94,0.06
0.5,0.0,2.0,0.06,0.9383761142099571,0.94,0.08
0.5,0.0,5.0,0.06,0.9359087872630926,0.94,0.09999999999999999
0.5,0.0,10.0,0.06,0.9317709019152411,0.94,0.10909090909090909
0.5,0.0,100.0,0.06,0.8834783710938829,0.94,0.1188118811881188
0.5,0.0,1000.0,0.06,0.8373089034865087,0.94,0.11988011988011989
0.5,0.0,Inf,0.06,0.8272000000000013,0.94,0.12
0.5,0.0,1.0,0.065,0.93397752146752,0.935,0.065
0.5,0.0,2.0,0.065,0.9329479128208525,0.935,0.08666666666666667
0.5,0.0,5.0,0.065,0.9298314353048427,0.935,0.10833333333333334
0.5,0.0,10.0,0.065,0.9246311574487975,0.935,0.11818181818181818
0.5,0.0,100.0,0.065,0.8691110455612848,0.935,0.12871287128712872
0.5,0.0,1000.0,0.065,0.8228876563792247,0.935,0.12987012987012986
0.5,0.0,Inf,0.065,0.81345,0.935,0.13
0.5,0.0,1.0,0.07,0.9287311579203401,0.9299999999999999,0.07
0.5,0.0,2.0,0.07,0.9274532348771859,0.9299999999999999,0.09333333333333334
0.5,0.0,5.0,0.07,0.9235898360455082,0.9299999999999999,0.11666666666666668
0.5,0.0,10.0,0.07,0.9171857002532032,0.9299999999999999,0.1272727272727273
0.5,0.0,100.0,0.07,0.8545833466239816,0.9299999999999999,0.13861386138613863
0.5,0.0,1000.0,0.07,0.8086318641449248,0.9299999999999999,0.13986013986013987
0.5,0.0,Inf,0.07,0.7998000000000003,0.9299999999999999,0.14
0.5,0.0,1.0,0.075,0.9234496619389331,0.925,0.075
0.5,0.0,2.0,0.075,0.9218883494909192,0.925,0.09999999999999999
0.5,0.0,5.0,0.075,0.9171766344639166,0.925,0.125
0.5,0.0,10.0,0.075,0.9094297838725168,0.925,0.13636363636363635
0.5,0.0,100.0,0.075,0.839967571560122,0.925,0.1485148514851485
0.5,0.0,1000.0,0.075,0.7945333085558551,0.925,0.14985014985014986
0.5,0.0,Inf,0.075,0.7862500000000002,0.925,0.15
0.5,0.0,1.0,0.08,0.9181312529295939,0.92,0.08
0.5,0.0,2.0,0.08,0.9162497880971144,0.92,0.10666666666666667
0.5,0.0,5.0,0.08,0.9105857555131485,0.92,0.13333333333333333
0.5,0.0,10.0,0.08,0.9013624378173275,0.92,0.14545454545454548
0.5,0.0,100.0,0.08,0.8253195382452279,0.92,0.15841584158415842
0.5,0.0,1000.0,0.08,0.780584821499936,0.92,0.15984015984015984
0.5,0.0,Inf,0.08,0.7727999999999995,0.92,0.16
0.5,0.0,1.0,0.085,0.9127741871244693,0.915,0.085
0.5,0.0,2.0,0.085,0.9105343884429553,0.915,0.11333333333333334
0.5,0.0,5.0,0.085,0.9038124410770146,0.915,0.1416666666666667
0.5,0.0,10.0,0.085,0.8929861290533118,0.915,0.15454545454545457
0.5,0.0,100.0,0.085,0.8106820633782355,0.915,0.16831683168316833
0.5,0.0,1000.0,0.085,0.766780238942653,0.915,0.16983016983016982
0.5,0.0,Inf,0.085,0.7594499999999996,0.915,0.17
0.5,0.0,1.0,0.09,0.9073770013815682,0.91,0.09
0.5,0.0,2.0,0.09,0.9047393092564726,0.91,0.12
0.5,0.0,5.0,0.09,0.8968532523434153,0.91,0.15
0.5,0.0,10.0,0.09,0.8843063336678819,0.91,0.1636363636363636
0.5,0.0,100.0,0.09,0.7960878196880213,0.91,0.1782178217821782
0.5,0.0,1000.0,0.09,0.7531142735662077,0.91,0.1798201798201798
0.5,0.0,Inf,0.09,0.7461999999999994,0.91,0.18
0.5,0.0,1.0,0.095,0.9019381982419701,0.905,0.095
0.5,0.0,2.0,0.095,0.8988620295372668,0.905,0.12666666666666668
0.5,0.0,5.0,0.095,0.8897060395638673,0.905,0.15833333333333333
0.5,0.0,10.0,0.095,0.8753310675313983,0.905,0.17272727272727273
0.5,0.0,100.0,0.095,0.7815616167088391,0.905,0.18811881188118812
