rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.0,1.0,0.0,1.0,1.0,0.0
0.05,0.0,2.0,0.0,1.0,1.0,0.0
0.05,0.0,5.0,0.0,1.0,1.0,0.0
0.05,0.0,10.0,0.0,1.0,1.0,0.0
0.05,0.0,100.0,0.0,1.0,1.0,0.0
0.05,0.0,1000.0,0.0,1.0,1.0,0.0
0.05,0.0,Inf,0.0,1.0,1.0,0.0
0.05,0.0,1.0,0.001,0.9999108641422805,0.999,0.01
0.05,0.0,2.0,0.001,0.9989999860181054,0.999,0.013333333333333332
0.05,0.0,5.0,0.001,0.9989982551151506,0.999,0.016666666666666666
0.05,0.0,10.0,0.001,0.9989961755299469,0.999,0.01818181818181818
0.05,0.0,100.0,0.001,0.9989590213209597,0.999,0.019801980198019802
0.05,0.0,1000.0,0.001,0.9983893573112623,0.999,0.01998001998001998
0.05,0.0,Inf,0.001,0.9790199999977178,0.999,0.02
0.05,0.0,1.0,0.002,0.9979970294312783,0.998,0.02
0.05,0.0,2.0,0.002,0.9979942009723359,0.998,0.026666666666666665
0.05,0.0,5.0,0.002,0.997984222938149,0.998,0.03333333333333333
0.05,0.0,10.0,0.002,0.9979678546389488,0.998,0.03636363636363636
0.05,0.0,100.0,0.002,0.9976261055857321,0.998,0.039603960396039604
0.05,0.0,1000.0,0.002,0.9878440915838158,0.998,0.03996003996003996
0.05,0.0,Inf,0.002,0.9580799999998135,0.998,0.04
0.05,0.0,1.0,0.003,0.9969894354741546,0.997,0.03
0.05,0.0,2.0,0.003,0.9969788362563354,0.997,0.04
0.05,0.0,5.0,0.003,0.9969455498676458,0.997,0.049999999999999996
0.05,0.0,10.0,0.003,0.996888877368882,0.997,0.054545454545454536
0.05,0.0,100.0,0.003,0.995434834969842,0.997,0.0594059405940594
0.05,0.0,1000.0,0.003,0.964232459981698,0.997,0.05994005994005994
0.05,0.0,Inf,0.003,0.9371800000003254,0.997,0.06
0.05,0.0,1.0,0.004,0.9959740049562074,0.996,0.04
0.05,0.0,2.0,0.004,0.9959488597573266,0.996,0.05333333333333333
0.05,0.0,5.0,0.004,0.9958689298627013,0.996,0.06666666666666667
0.05,0.0,10.0,0.004,0.9957293306626275,0.996,0.07272727272727272
0.05,0.0,100.0,0.004,0.9910564897378664,0.996,0.07920792079207921
0.05,0.0,1000.0,0.004,0.9381138644578039,0.996,0.07992007992007992
0.05,0.0,Inf,0.004,0.9163199999999586,0.996,0.08
0.05,0.0,1.0,0.005,0.994949230133197,0.995,0.049999999999999996
0.05,0.0,2.0,0.005,0.9948990832775455,0.995,0.06666666666666667
0.05,0.0,5.0,0.005,0.9947396199576362,0.995,0.08333333333333333
0.05,0.0,10.0,0.005,0.9944529476631357,0.995,0.09090909090909091
0.05,0.0,100.0,0.005,0.9824853201323355,0.995,0.099009900990099
0.05,0.0,1000.0,0.005,0.9132107780867708,0.995,0.09990009990009989
0.05,0.0,Inf,0.005,0.8955000000000727,0.995,0.09999999999999999
0.05,0.0,1.0,0.006,0.9939132383568491,0.994,0.06
0.05,0.0,2.0,0.006,0.9938240625199529,0.994,0.08
0.05,0.0,5.0,0.006,0.9935409278756872,0.994,0.09999999999999999
0.05,0.0,10.0,0.006,0.9930139734587622,0.994,0.10909090909090907
0.05,0.0,100.0,0.006,0.9685531737100668,0.994,0.1188118811881188
0.05,0.0,1000.0,0.006,0.8896265351743665,0.994,0.11988011988011987
0.05,0.0,Inf,0.006,0.874720000000129,0.994,0.12
0.05,0.0,1.0,0.007,0.992861828173681,0.993,0.06999999999999999
0.05,0.0,2.0,0.007,0.9927180260415774,0.993,0.09333333333333334
0.05,0.0,5.0,0.007,0.9922535043637772,0.993,0.11666666666666667
0.05,0.0,10.0,0.007,0.9913532468868229,0.993,0.12727272727272726
0.05,0.0,100.0,0.007,0.9495254874624286,0.993,0.13861386138613863
0.05,0.0,1000.0,0.007,0.8667238637017554,0.993,0.13986013986013984
0.05,0.0,Inf,0.007,0.8539800000000385,0.993,0.13999999999999999
0.05,0.0,1.0,0.008,0.9917923616563509,0.992,0.08
0.05,0.0,2.0,0.008,0.9915747614315106,0.992,0.10666666666666666
0.05,0.0,5.0,0.008,0.9908546277355965,0.992,0.13333333333333333
0.05,0.0,10.0,0.008,0.9893935652362095,0.992,0.14545454545454545
0.05,0.0,100.0,0.008,0.9264607011376846,0.992,0.15841584158415842
0.05,0.0,1000.0,0.008,0.8443603517348524,0.992,0.15984015984015984
0.05,0.0,Inf,0.008,0.8332800000000338,0.992,0.16
0.05,0.0,1.0,0.009,0.9907028870159056,0.991,0.08999999999999998
0.05,0.0,2.0,0.009,0.9903875668103733,0.991,0.11999999999999998
0.05,0.0,5.0,0.009,0.9893173171947099,0.991,0.15
0.05,0.0,10.0,0.009,0.9870353012022226,0.991,0.1636363636363636
0.05,0.0,100.0,0.009,0.9006889569638041,0.991,0.17821782178217818
0.05,0.0,1000.0,0.009,0.8223885554348842,0.991,0.17982017982017984
0.05,0.0,Inf,0.009,0.8126200000000006,0.991,0.17999999999999997
0.05,0.0,1.0,0.01,0.9895897611285964,0.99,0.09999999999999999
0.05,0.0,2.0,0.01,0.9891491409630377,0.99,0.13333333333333333
0.05,0.0,5.0,0.01,0.9876094309739555,0.99,0.16666666666666666
0.05,0.0,10.0,0.01,0.984154253699374,0.99,0.18181818181818182
0.05,0.0,100.0,0.01,0.8737395606043108,0.99,0.198019801980198
0.05,0.0,1000.0,0.01,0.8007086427402332,0.99,0.19980019980019978
0.05,0.0,Inf,0.01,0.7919999999999907,0.99,0.19999999999999998
0.05,0.0,1.0,0.011,0.9884511143851571,0.989,0.10999999999999999
