rho,delta,beta,alpha,mmse,mse_ridge_opt
0.05,0.1,5.0,0.82,0.0077829964813056485,0.3587475490101846
0.05,0.1,5.0,0.84,0.007584644354724057,0.3476476034853718
0.05,0.1,5.0,0.86,0.0073961468804971675,0.33685959035509727
0.05,0.1,5.0,0.88,0.007216788695845855,0.3263858403911275
0.05,0.1,5.0,0.9,0.00704592063844478,0.316227766016838
0.05,0.1,5.0,0.92,0.0068829546372422,0.3063858403911275
0.05,0.1,5.0,0.94,0.00672735495930854,0.29685959035509724
0.05,0.1,5.0,0.96,0.006578632309505172,0.2876476034853718
0.05,0.1,5.0,0.98,0.006436342243499316,0.2787475490101846
0.05,0.1,5.0,1.0,0.0063000746879968705,0.2701562118716425
0.05,0.1,5.0,1.02,0.006169457328406458,0.2618695387886216
0.05,0.1,5.0,1.04,0.006044144436578858,0.2538826948140329
0.05,0.1,5.0,1.06,0.005923820195445018,0.24619012860600187
0.05,0.1,5.0,1.08,0.005808191644513072,0.2387856444554719
0.05,0.1,5.0,1.1,0.005696990121021539,0.23166247903554005
0.05,0.1,5.0,1.12,0.00558996566720682,0.22481338085566416
0.05,0.1,5.0,1.14,0.005486887431780052,0.21823069050575528
0.05,0.1,5.0,1.16,0.005387541660637818,0.21190641994557524
0.05,0.1,5.0,1.18,0.005291727773867438,0.20583232931581175
0.05,0.1,5.0,1.2,0.005199262955515649,0.20000000000000007
0.05,0.1,5.0,1.22,0.005109973007160318,0.19440090293338697
0.05,0.1,5.0,1.24,0.005023697730186738,0.18902646142032486
0.05,0.1,5.0,1.26,0.004940286975639752,0.18386810797320507
0.05,0.1,5.0,1.28,0.004859599597433095,0.17891733491393436
0.05,0.1,5.0,1.3,0.004781506755916598,0.17416573867739416
0.05,0.1,5.0,1.32,0.004705882687193297,0.16960505792204617
0.05,0.1,5.0,1.34,0.004632612646389811,0.16522720568516436
0.05,0.1,5.0,1.36,0.004561590695350781,0.16102429592034306
0.05,0.1,5.0,1.38,0.004492712157155965,0.15698866482558416
0.05,0.1,5.0,1.4,0.004425882405948656,0.15311288741492757
0.05,0.1,5.0,1.42,0.004361011825894878,0.1493897898091745
