rho,delta,beta,alpha,mmse,mse_ridge_opt
0.05,0.1,2.0,0.0,1.0,1.0
0.05,0.1,2.0,0.02,0.9759584113621601,0.9818486873657627
0.05,0.1,2.0,0.04,0.8965355577248446,0.9637602458033007
0.05,0.1,2.0,0.06,0.6882866258903273,0.9457375771237966
0.05,0.1,2.0,0.08,0.38111791544184703,0.9277837386399848
0.05,0.1,2.0,0.1,0.2132779710267536,0.9099019513592785
0.05,0.1,2.0,0.12,0.14019920270331487,0.8920956084253278
0.05,0.1,2.0,0.14,0.1029874687855139,0.874368283772331
0.05,0.1,2.0,0.16,0.08101906355699384,0.8567237409455183
0.05,0.1,2.0,0.18,0.06665309459645052,0.8391659420284376
0.05,0.1,2.0,0.2,0.05656510096682876,0.8216990566028302
0.05,0.1,2.0,0.22,0.04910653693789557,0.8043274706497561
0.05,0.1,2.0,0.24,0.04337411438885297,0.7870557952810575
0.05,0.1,2.0,0.26,0.038833673544445,0.7698888751680797
0.05,0.1,2.0,0.28,0.03514997968534084,0.7528317965096906
0.05,0.1,2.0,0.3,0.03210224635060499,0.7358898943540674
0.05,0.1,2.0,0.32,0.029539334438856035,0.7190687590584988
0.05,0.1,2.0,0.34,0.027354381180186293,0.7023742416388575
0.05,0.1,2.0,0.36,0.0254697007983401,0.6858124577258358
0.05,0.1,2.0,0.38,0.023827492050084165,0.6693897898091744
0.05,0.1,2.0,0.4,0.02238386673417081,0.6531128874149275
0.05,0.1,2.0,0.42,0.02110491561073713,0.6369886648255842
0.05,0.1,2.0,0.44,0.01996402443091483,0.6210242959203431
0.05,0.1,2.0,0.46,0.018940003184149456,0.6052272056851644
0.05,0.1,2.0,0.48,0.018015791345807997,0.5896050579220461
0.05,0.1,2.0,0.5,0.01717748966713173,0.5741657386773942
0.05,0.1,2.0,0.52,0.01641366046574888,0.5589173349139344
0.05,0.1,2.0,0.54,0.01571481608982539,0.5438681079732051
0.05,0.1,2.0,0.56,0.015073002400254776,0.5290264614203248
0.05,0.1,2.0,0.58,0.014481518682093353,0.5144009029333871
0.05,0.1,2.0,0.6,0.013934672153582794,0.5000000000000001
0.05,0.1,2.0,0.62,0.0134275973634983,0.48583232931581166
0.05,0.1,2.0,0.64,0.012956109930473914,0.47190641994557514
0.05,0.1,2.0,0.66,0.012516592530273263,0.45823069050575527
0.05,0.1,2.0,0.68,0.01210590121807753,0.44481338085566413
0.05,0.1,2.0,0.7,0.01172129176916803,0.4316624790355401
0.05,0.1,2.0,0.72,0.011360357575927682,0.41878564445547206
0.05,0.1,2.0,0.74,0.011020978756511535,0.4061901286060018
0.05,0.1,2.0,0.76,0.010701279811555664,0.39388269481403293
0.05,0.1,2.0,0.78,0.01039959956576042,0.3818695387886216
0.05,0.1,2.0,0.8,0.010114456424120122,0.3701562118716425
0.05,0.1,2.0,0.82,0.009844527554005666,0.3587475490101846
0.05,0.1,2.0,0.84,0.00958862644864833,0.3476476034853718
0.05,0.1,2.0,0.86,0.009345683793960391,0.33685959035509727
0.05,0.1,2.0,0.88,0.009114752884848087,0.3263858403911275
0.05,0.1,2.0,0.9,0.008894951251204875,0.316227766016838
0.05,0.1,2.0,0.92,0.008685498853861273,0.3063858403911275
0.05,0.1,2.0,0.94,0.008485680735028422,0.29685959035509724
0.05,0.1,2.0,0.96,0.008294847149851625,0.2876476034853718
0.05,0.1,2.0,0.98,0.008112407659229715,0.2787475490101846
0.05,0.1,2.0,1.0,0.007937818209709513,0.2701562118716425
0.05,0.1,2.0,1.02,0.00777058343198056,0.2618695387886216
0.05,0.1,2.0,1.04,0.007610248507259665,0.2538826948140329
0.05,0.1,2.0,1.06,0.007456393492735192,0.24619012860600187
