rho,delta,beta,alpha,mmse,mse_ridge_opt
0.05,0.1,1.0,0.0,1.0,1.0
0.05,0.1,1.0,0.02,0.979233932104417,0.9818486873657627
0.05,0.1,1.0,0.04,0.9380268143573824,0.9637602458033007
0.05,0.1,1.0,0.06,0.8484735776344694,0.9457375771237966
0.05,0.1,1.0,0.08,0.6938997315733024,0.9277837386399848
0.05,0.1,1.0,0.1,0.4698119798410376,0.9099019513592785
0.05,0.1,1.0,0.12,0.2881429644811614,0.8920956084253278
0.05,0.1,1.0,0.14,0.19226366838930942,0.874368283772331
0.05,0.1,1.0,0.16,0.141008919946073,0.8567237409455183
0.05,0.1,1.0,0.18,0.11049271544061057,0.8391659420284376
0.05,0.1,1.0,0.2,0.0905611669320403,0.8216990566028302
0.05,0.1,1.0,0.22,0.07661374687605227,0.8043274706497561
0.05,0.1,1.0,0.24,0.06634032151292613,0.7870557952810575
0.05,0.1,1.0,0.26,0.058471830142481473,0.7698888751680797
0.05,0.1,1.0,0.28,0.052258608733244616,0.7528317965096906
0.05,0.1,1.0,0.3,0.04723123201677015,0.7358898943540674
0.05,0.1,1.0,0.32,0.04308149719268961,0.7190687590584988
0.05,0.1,1.0,0.34,0.039599024732076105,0.7023742416388575
0.05,0.1,1.0,0.36,0.03663544845206235,0.6858124577258358
0.05,0.1,1.0,0.38,0.0340831821353218,0.6693897898091744
0.05,0.1,1.0,0.4,0.03186239924604217,0.6531128874149275
0.05,0.1,1.0,0.42,0.029912623812171413,0.6369886648255842
0.05,0.1,1.0,0.44,0.02818720233792804,0.6210242959203431
0.05,0.1,1.0,0.46,0.026649596761820327,0.6052272056851644
0.05,0.1,1.0,0.48,0.025270776185068344,0.5896050579220461
0.05,0.1,1.0,0.5,0.024027388973516417,0.5741657386773942
0.05,0.1,1.0,0.52,0.02290043659294616,0.5589173349139344
0.05,0.1,1.0,0.54,0.021874347295681273,0.5438681079732051
0.05,0.1,1.0,0.56,0.02093613934863492,0.5290264614203248
0.05,0.1,1.0,0.58,0.0200750197284274,0.5144009029333871
0.05,0.1,1.0,0.6,0.019281867251089158,0.5000000000000001
0.05,0.1,1.0,0.62,0.018548947138632532,0.48583232931581166
0.05,0.1,1.0,0.64,0.017869656865837857,0.47190641994557514
0.05,0.1,1.0,0.66,0.01723832172446882,0.45823069050575527
0.05,0.1,1.0,0.68,0.016650040449256,0.44481338085566413
0.05,0.1,1.0,0.7,0.01610056098541257,0.4316624790355401
0.05,0.1,1.0,0.72,0.015586160146707884,0.41878564445547206
0.05,0.1,1.0,0.74,0.015103593447382657,0.4061901286060018
0.05,0.1,1.0,0.76,0.014649995818536654,0.39388269481403293
0.05,0.1,1.0,0.78,0.014222832006375197,0.3818695387886216
0.05,0.1,1.0,0.8,0.013819859668673162,0.3701562118716425
0.05,0.1,1.0,0.82,0.01343908141783412,0.3587475490101846
0.05,0.1,1.0,0.84,0.013078713820155685,0.3476476034853718
0.05,0.1,1.0,0.86,0.012737159723990366,0.33685959035509727
0.05,0.1,1.0,0.88,0.012412982938670436,0.3263858403911275
