rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.5,0.0,1.0,0.08,0.9181312529295939,0.92,0.08
1.0,0.0,1.0,0.16,0.8366895371198939,0.84,0.08
2.0,0.0,1.0,0.32,0.6749119480259422,0.6799999999999999,0.08
0.1,0.0,1.0,0.017,0.9825068753492157,0.983,0.085
0.2,0.0,1.0,0.034,0.9650384598571626,0.966,0.085
0.5,0.0,1.0,0.085,0.9127741871244693,0.915,0.085
1.0,0.0,1.0,0.17,0.8260980112932017,0.83,0.085
2.0,0.0,1.0,0.34,0.6541422904703666,0.6599999999999999,0.085
0.1,0.0,1.0,0.018,0.981413730640473,0.982,0.09
0.2,0.0,1.0,0.036,0.9628595406224434,0.964,0.09
0.5,0.0,1.0,0.09,0.9073770013815682,0.91,0.09
1.0,0.0,1.0,0.18,0.8154507039302188,0.8200000000000001,0.09
2.0,0.0,1.0,0.36,0.6333349469581878,0.64,0.09
0.1,0.0,1.0,0.019000000000000003,0.9803091790563496,0.981,0.095
0.2,0.0,1.0,0.038000000000000006,0.9606596341693733,0.962,0.095
0.5,0.0,1.0,0.095,0.9019381982419701,0.905,0.095
1.0,0.0,1.0,0.19,0.8047476216772992,0.81,0.095
2.0,0.0,1.0,0.38,0.6124965151645343,0.62,0.095
0.1,0.0,1.0,0.020000000000000004,0.9791934135222358,0.98,0.1
0.2,0.0,1.0,0.04000000000000001,0.9584380967684352,0.96,0.1
0.5,0.0,1.0,0.1,0.89645629350633,0.9,0.1
1.0,0.0,1.0,0.2,0.7939891807950163,0.8,0.1
2.0,0.0,1.0,0.4,0.5916341136431693,0.6,0.1
0.1,0.0,1.0,0.021,0.9780646314831428,0.979,0.105
0.2,0.0,1.0,0.042,0.956193330755829,0.958,0.105
0.5,0.0,1.0,0.105,0.8909301553875235,0.895,0.105
1.0,0.0,1.0,0.21,0.7831760024121901,0.79,0.105
2.0,0.0,1.0,0.42,0.5707552522637322,0.5800000000000001,0.105
0.1,0.0,1.0,0.022000000000000002,0.9769226703676972,0.978,0.11
0.2,0.0,1.0,0.044000000000000004,0.9539244195592598,0.956,0.11
0.5,0.0,1.0,0.11,0.8853587430977652,0.89,0.11
1.0,0.0,1.0,0.22,0.772309100035644,0.78,0.11
2.0,0.0,1.0,0.44,0.5498678782926967,0.56,0.11
0.1,0.0,1.0,0.023000000000000003,0.9757666585135462,0.977,0.115
0.2,0.0,1.0,0.046000000000000006,0.9516303607000518,0.954,0.115
0.5,0.0,1.0,0.115,0.8797411227561087,0.885,0.115
1.0,0.0,1.0,0.23,0.7613897135493852,0.77,0.115
2.0,0.0,1.0,0.46,0.5289801538424548,0.54,0.115
0.1,0.0,1.0,0.024,0.9745957526369706,0.976,0.12
0.2,0.0,1.0,0.048,0.9493099641987212,0.952,0.12
0.5,0.0,1.0,0.12,0.8740764567126592,0.88,0.12
1.0,0.0,1.0,0.24,0.7504193537144023,0.76,0.12
2.0,0.0,1.0,0.48,0.5081006522756093,0.52,0.12
0.1,0.0,1.0,0.025,0.9734098113167485,0.975,0.125
0.2,0.0,1.0,0.05,0.9469622434857407,0.95,0.125
0.5,0.0,1.0,0.125,0.8683640531407427,0.875,0.125
1.0,0.0,1.0,0.25,0.7393997750499437,0.75,0.125
2.0,0.0,1.0,0.5,0.48723798710640875,0.5,0.125
0.1,0.0,1.0,0.026000000000000002,0.9722071973857779,0.974,0.13
0.2,0.0,1.0,0.052000000000000005,0.9445861041859651,0.948,0.13
0.5,0.0,1.0,0.13,0.8626034381596194,0.87,0.13
1.0,0.0,1.0,0.26,0.7283328958873918,0.74,0.13
2.0,0.0,1.0,0.52,0.46640107540204523,0.48,0.13
0.1,0.0,1.0,0.027000000000000003,0.9709880680982593,0.973,0.135
0.2,0.0,1.0,0.054000000000000006,0.9421807184442361,0.946,0.135
0.5,0.0,1.0,0.135,0.8567941030788571,0.865,0.135
1.0,0.0,1.0,0.27,0.7172209448674944,0.73,0.135
2.0,0.0,1.0,0.54,0.44559893624395586,0.45999999999999996,0.135
0.1,0.0,1.0,0.028000000000000004,0.969751042999554,0.972,0.14
0.2,0.0,1.0,0.05600000000000001,0.9397449042581129,0.944,0.14
0.5,0.0,1.0,0.14,0.850935887625401,0.86,0.14
1.0,0.0,1.0,0.28,0.7060662134881863,0.72,0.14
2.0,0.0,1.0,0.56,0.4248407407133369,0.43999999999999995,0.14
0.1,0.0,1.0,0.028999999999999998,0.9684955957492233,0.971,0.145
0.2,0.0,1.0,0.057999999999999996,0.9372778076382826,0.942,0.145
0.5,0.0,1.0,0.145,0.8450285099800904,0.855,0.145
1.0,0.0,1.0,0.29,0.6948711268226544,0.71,0.145
2.0,0.0,1.0,0.58,0.40413577886505914,0.42000000000000004,0.145
0.1,0.0,1.0,0.03,0.9672209195196396,0.97,0.15
0.2,0.0,1.0,0.06,0.9347783802581535,0.94,0.15
0.5,0.0,1.0,0.15,0.839071956655446,0.85,0.15
1.0,0.0,1.0,0.3,0.6836383134012252,0.7,0.15
2.0,0.0,1.0,0.6,0.38349339505617486,0.4,0.15
0.1,0.0,1.0,0.031,0.9659262331596589,0.969,0.155
0.2,0.0,1.0,0.062,0.9322458546691865,0.938,0.155
0.5,0.0,1.0,0.155,0.8330662889886133,0.845,0.155
1.0,0.0,1.0,0.31,0.6723704802044244,0.69,0.155
2.0,0.0,1.0,0.62,0.36292314865135256,0.38,0.155
0.1,0.0,1.0,0.032,0.9646107597046741,0.968,0.16
0.2,0.0,1.0,0.064,0.9296792701816005,0.9359999999999999,0.16
0.5,0.0,1.0,0.16,0.8270116711872585,0.84,0.16
1.0,0.0,1.0,0.32,0.6610704638007541,0.6799999999999999,0.16
2.0,0.0,1.0,0.64,0.3424346194937776,0.36,0.16
0.1,0.0,1.0,0.033,0.9632736133121578,0.967,0.165
0.2,0.0,1.0,0.066,0.9270778658372465,0.9339999999999999,0.165
0.5,0.0,1.0,0.165,0.8209083810697713,0.835,0.165
1.0,0.0,1.0,0.33,0.6497410328877447,0.6699999999999999,0.165
2.0,0.0,1.0,0.66,0.32203753542754143,0.33999999999999997,0.165
0.1,0.0,1.0,0.034,0.9619142179605136,0.966,0.17
0.2,0.0,1.0,0.068,0.9244407745237584,0.9319999999999999,0.17
0.5,0.0,1.0,0.17,0.8147567825921471,0.83,0.17
