alpha,gen_error_mean,gen_error_std
0.05,0.994243718641354,0.012521638862949144
0.1,0.9881199438835152,0.00896604894102485
0.15,0.9258831082997154,0.008546121622835783
0.2,0.9343821820659978,0.011456153084045174
0.25,0.9464050892917385,0.011147036532636479
0.3,0.982502324299654,0.007480031804689183
0.35,0.9448304727122749,0.010720862905329996
0.4,0.8092276997676283,0.009815050720744917
0.45,0.760748374261164,0.007774496336101448
0.5,0.6927832496178739,0.007835865584158877
0.55,0.6223231259336663,0.008161148941817612
0.6,0.5601833695231059,0.011145710255825662
0.65,0.5338228615507958,0.009967515915954418
0.7,0.5355676570384238,0.009585128509105405
0.75,0.4866301946249479,0.011401588634990682
0.8,0.4533205331474728,0.0037706923573225365
0.85,0.48598976219716894,0.0005661270011939574
0.9,0.42833517322560244,0.0052282096344057226
0.95,0.4487093074693862,0.0030465148754114002
1.0,0.4325148674100602,0.001447807229533913
1.05,0.34738468599291605,0.007985012524112762
1.1,0.3312167914461308,0.006667389675910643
1.15,0.32802713763862956,0.014341654314555296
1.2,0.2827276305508821,0.006529505862940947
1.25,0.2621232253005575,0.006090952340878935
