alpha,gen_error_mean,gen_error_std
0.05,0.9505398944020271,0.018639961426493015
0.1,0.975244652479887,0.025635648827543368
0.15,0.8959505520761013,0.01579392942691764
0.2,0.7869846001267433,0.021345836064090316
0.25,0.7183209843933582,0.022126529514488787
0.3,0.5340650286525488,0.016933161448631266
0.35,0.3585319723933935,0.007942267555806603
0.4,7.988635947198119e-07,2.8556519833621563e-07
0.45,6.948215865715929e-13,1.4698757618068802e-13
0.5,6.636410899849487e-14,2.3046864423100772e-15
0.55,4.5632300835121015e-14,1.1571037370164572e-15
