alpha,gen_error_mean,gen_error_std
0.05,1.9387769997119904,0.020925474507501686
0.1,1.8972754180431366,0.012974816403251438
0.15,1.813774049282074,0.009896667021012474
0.2,1.6747784242033958,0.01134781063802677
0.25,1.52040845900774,0.008990692343564564
0.3,1.452813245356083,0.01133495737786417
0.35,1.3047015368938446,0.009582215735539771
0.4,1.1616136282682419,0.010245647205067014
0.45,1.0630143322050571,0.011247834037824492
0.5,1.0024555958807468,0.008066963227440408
0.55,0.9160099625587463,0.010536530421999635
0.6,0.8772861063480377,0.012774566390606678
0.65,0.8133923001587391,0.009007021014823122
0.7,0.7497031427919865,0.009050387526896042
0.75,0.6976211853325367,0.006829011086159375
0.8,0.6563058756291866,0.007417216464102649
0.85,0.6094018183648586,0.007448098622698365
0.9,0.5573959276080132,0.009012660556261199
0.95,0.49736068584024906,0.005325912789450001
1.0,0.44254086911678314,0.005732078169205702
1.05,0.4000409562140703,0.005680247737293246
1.1,0.380370432510972,0.006737543872483623
1.15,0.3152560479938984,0.0030448211438588065
1.2,0.2980498131364584,0.002437629468491101
1.25,0.2706386372447014,0.0025032475414023844
