alpha,gen_error_mean,gen_error_std
0.05,0.9570179717777276,0.03033284722435944
0.1,0.8692966386936238,0.008189556209363943
0.15,0.7709780637332333,0.010932925285171641
0.2,0.6797657376941328,0.04439055353422432
0.25,0.5549361674824326,0.031285446141815346
0.3,0.3838659192406024,0.014165814203276592
0.33,0.22780122575082484,0.011090463039635628
0.4,0.0002741589507718378,1.3612260449768036e-05
0.45,3.659028139372576e-05,2.177435476361997e-06
0.5,0.0009757768052235382,0.000676506093723744
0.55,2.8895009629280392e-05,2.0032377431273444e-05
0.6,2.2647578061581524e-05,1.528398774885396e-05
0.65,8.586051758330419e-06,4.807121807912086e-06
0.7,1.5581829802817292e-05,1.0973019889573403e-05
0.75,8.779792780170164e-06,6.197612944574128e-06
0.8,1.655479503792417e-05,1.1704850775188762e-05
0.85,0.00020526541124353903,0.00014409825097909564
0.9,2.3662617587894098e-08,7.695250903697234e-10
0.95,3.110258275178556e-05,2.146000122624244e-05
1.0,4.73631584284217e-09,2.1258814486874655e-09
