alpha,gen_error_mean,gen_error_std
0.05,1.084731187671423,0.021761014124819015
0.1,1.1703750863671303,0.03643856898383331
0.15,1.0458485521376133,0.02002274978581195
0.2,0.904846265912056,0.02218732666030169
0.25,0.8382319919764996,0.022892554327569568
0.3,0.6830929107964039,0.02741186982305727
0.35,0.6375905610620975,0.022554788115737943
0.4,7.988635947198119e-07,2.8556519833621563e-07
0.45,6.978882126059197e-13,1.4699572444264494e-13
0.5,7.27134575949595e-14,2.3984417590862408e-15
0.55,5.2036733889969725e-14,1.6932501332798579e-15
