rho,delta,beta,alpha,mmse,mse_ridge_opt
0.1,0.0,2.0,0.095,0.6893610620853159,0.905
0.2,0.0,2.0,0.095,0.8632352644356478,0.905
0.5,0.0,2.0,0.095,0.8988620295372668,0.905
1.0,0.0,2.0,0.095,0.9034720760428789,0.905
2.0,0.0,2.0,0.095,0.9046161932068223,0.905
0.1,0.0,2.0,0.1,0.648805049230186,0.9
0.2,0.0,2.0,0.1,0.8517739722145807,0.9
0.5,0.0,2.0,0.1,0.8929003633741042,0.9
1.0,0.0,2.0,0.1,0.8982312654436468,0.9
2.0,0.0,2.0,0.1,0.8995553394455077,0.9
0.1,0.0,2.0,0.105,0.6036112815228458,0.895
0.2,0.0,2.0,0.105,0.8397939176649343,0.895
0.5,0.0,2.0,0.105,0.8868524613881776,0.895
1.0,0.0,2.0,0.105,0.8929681766719572,0.895
2.0,0.0,2.0,0.105,0.894488747183889,0.895
0.1,0.0,2.0,0.11,0.5524541851378522,0.89
0.2,0.0,2.0,0.11,0.8272988149256049,0.89
0.5,0.0,2.0,0.11,0.88071681034534,0.89
1.0,0.0,2.0,0.11,0.8876822081613366,0.89
2.0,0.0,2.0,0.11,0.8894162350286177,0.89
0.1,0.0,2.0,0.115,0.4931331315280537,0.885
0.2,0.0,2.0,0.115,0.8142935338040251,0.885
0.5,0.0,2.0,0.115,0.8744922290872224,0.885
1.0,0.0,2.0,0.115,0.8823728154939772,0.885
2.0,0.0,2.0,0.115,0.8843376326435493,0.885
0.1,0.0,2.0,0.12,0.4238867090665116,0.88
0.2,0.0,2.0,0.12,0.80078370182379,0.88
0.5,0.0,2.0,0.12,0.8681778610201358,0.88
1.0,0.0,2.0,0.12,0.8770395116706499,0.88
2.0,0.0,2.0,0.12,0.879252780813826,0.88
0.1,0.0,2.0,0.125,0.34706389971075136,0.875
0.2,0.0,2.0,0.125,0.7867752327655955,0.875
0.5,0.0,2.0,0.125,0.8617731635062393,0.875
1.0,0.0,2.0,0.125,0.8716818671648989,0.875
2.0,0.0,2.0,0.125,0.8741615314940587,0.875
0.1,0.0,2.0,0.13,0.2646627930669775,0.87
0.2,0.0,2.0,0.13,0.7722739542622308,0.87
0.5,0.0,2.0,0.13,0.8552778946239781,0.87
1.0,0.0,2.0,0.13,0.8662995097595307,0.87
2.0,0.0,2.0,0.13,0.8690637478400889,0.87
0.1,0.0,2.0,0.135,0.178313086787509,0.865
0.2,0.0,2.0,0.135,0.7572852430397445,0.865
0.5,0.0,2.0,0.135,0.8486920976832142,0.865
1.0,0.0,2.0,0.135,0.8608921230566385,0.865
2.0,0.0,2.0,0.135,0.8639593042240936,0.865
0.1,0.0,2.0,0.14,0.08958636875109982,0.86
0.2,0.0,2.0,0.14,0.7418137578880761,0.86
0.5,0.0,2.0,0.14,0.8420160840843084,0.86
1.0,0.0,2.0,0.14,0.855459450366916,0.86
2.0,0.0,2.0,0.14,0.858848086232753,0.86
0.1,0.0,2.0,0.145,0.00011419752415964268,0.855
0.2,0.0,2.0,0.145,0.7258630247045099,0.855
0.5,0.0,2.0,0.145,0.835250414954467,0.855
1.0,0.0,2.0,0.145,0.8500012871306513,0.855
2.0,0.0,2.0,0.145,0.8537299906483994,0.855
0.1,0.0,2.0,0.15,0.0,0.85
0.2,0.0,2.0,0.15,0.709435181996886,0.85
0.5,0.0,2.0,0.15,0.8283958820278717,0.85
1.0,0.0,2.0,0.15,0.8445174844952706,0.85
2.0,0.0,2.0,0.15,0.8486049254131607,0.85
0.1,0.0,2.0,0.155,0.0,0.845
0.2,0.0,2.0,0.155,0.6925306245421519,0.845
0.5,0.0,2.0,0.155,0.8214534881823973,0.845
1.0,0.0,2.0,0.155,0.8390079469921184,0.845
2.0,0.0,2.0,0.155,0.8434728095761834,0.845
0.1,0.0,2.0,0.16,0.0,0.84
0.2,0.0,2.0,0.16,0.6751476271406385,0.84
0.5,0.0,2.0,0.16,0.8144244279934798,0.84
1.0,0.0,2.0,0.16,0.8334726312001585,0.84
2.0,0.0,2.0,0.16,0.8383335732241732,0.84
0.1,0.0,2.0,0.165,0.0,0.835
0.2,0.0,2.0,0.165,0.6572819116165383,0.835
0.5,0.0,2.0,0.165,0.8073100686090582,0.835
1.0,0.0,2.0,0.165,0.8279115442594278,0.835
2.0,0.0,2.0,0.165,0.8331871573955922,0.835
0.1,0.0,2.0,0.17,0.0,0.83
0.2,0.0,2.0,0.17,0.6389261294929849,0.83
0.5,0.0,2.0,0.17,0.8001119311924271,0.83
1.0,0.0,2.0,0.17,0.8223247422514832,0.83
2.0,0.0,2.0,0.17,0.8280335139788324,0.83
0.1,0.0,2.0,0.175,0.0,0.825
0.2,0.0,2.0,0.175,0.6200692249890313,0.825
0.5,0.0,2.0,0.175,0.7928316731252922,0.825
1.0,0.0,2.0,0.175,0.8167123284647565,0.825
2.0,0.0,2.0,0.175,0.8228726055949993,0.825
0.1,0.0,2.0,0.18,0.0,0.8200000000000001
0.2,0.0,2.0,0.18,0.6006956299603357,0.8200000000000001
0.5,0.0,2.0,0.18,0.7854710711130112,0.8200000000000001
1.0,0.0,2.0,0.18,0.8110744515630822,0.8200000000000001
2.0,0.0,2.0,0.18,0.8177044054657445,0.8200000000000001
0.1,0.0,2.0,0.185,0.0,0.815
0.2,0.0,2.0,0.185,0.5807842454148147,0.815
0.5,0.0,2.0,0.185,0.7780320052958364,0.815
1.0,0.0,2.0,0.185,0.8054113036755649,0.815
2.0,0.0,2.0,0.185,0.8125288972669079,0.815
0.1,0.0,2.0,0.19,0.0,0.81
0.2,0.0,2.0,0.19,0.5603069561389713,0.81
0.5,0.0,2.0,0.19,0.7705164444212294,0.81
1.0,0.0,2.0,0.19,0.7997231184228648,0.81
2.0,0.0,2.0,0.19,0.8073460749686354,0.81
0.1,0.0,2.0,0.195,0.0,0.8049999999999999
0.2,0.0,2.0,0.195,0.539226989159695,0.8049999999999999
0.5,0.0,2.0,0.195,0.7629264320316846,0.8049999999999999
1.0,0.0,2.0,0.195,0.7940101689100376,0.8049999999999999
2.0,0.0,2.0,0.195,0.8021559426627602,0.8049999999999999
0.1,0.0,2.0,0.2,0.0,0.8
0.2,0.0,2.0,0.2,0.5174961520355468,0.8
0.5,0.0,2.0,0.2,0.7552640738810819,0.8
1.0,0.0,2.0,0.2,0.7882727656792026,0.8
2.0,0.0,2.0,0.2,0.7969585143782723,0.8
0.1,0.0,2.0,0.205,0.0,0.795
0.2,0.0,2.0,0.205,0.4950513810155096,0.795
0.5,0.0,2.0,0.205,0.7475315263137858,0.795
1.0,0.0,2.0,0.205,0.7825112546551087,0.795
2.0,0.0,2.0,0.205,0.7917538138857475,0.795
0.1,0.0,2.0,0.21,0.0,0.79
0.2,0.0,2.0,0.21,0.47180946454063655,0.79
0.5,0.0,2.0,0.21,0.7397309857067689,0.79
1.0,0.0,2.0,0.21,0.7767260150942863,0.79
2.0,0.0,2.0,0.21,0.7865418744916312,0.79
0.1,0.0,2.0,0.215,0.0,0.785
0.2,0.0,2.0,0.215,0.4476595474283894,0.785
0.5,0.0,2.0,0.215,0.7318646789001673,0.785
1.0,0.0,2.0,0.215,0.7709174575477961,0.785
2.0,0.0,2.0,0.215,0.7813227381801336,0.785
0.1,0.0,2.0,0.22,0.0,0.78
0.2,0.0,2.0,0.22,0.4224516728624681,0.78
0.5,0.0,2.0,0.22,0.7239348545623336,0.78
1.0,0.0,2.0,0.22,0.7650860218502527,0.78
2.0,0.0,2.0,0.22,0.7760964579786562,0.78
0.1,0.0,2.0,0.225,0.0,0.775
0.2,0.0,2.0,0.225,0.3959795995712524,0.775
0.5,0.0,2.0,0.225,0.7159437754306675,0.775
1.0,0.0,2.0,0.225,0.7592321751451868,0.775
2.0,0.0,2.0,0.225,0.7708630938194823,0.775
0.1,0.0,2.0,0.23,0.0,0.77
0.2,0.0,2.0,0.23,0.3679558234870053,0.77
0.5,0.0,2.0,0.23,0.7078937113667629,0.77
1.0,0.0,2.0,0.23,0.7533564099555365,0.77
2.0,0.0,2.0,0.23,0.7656227149249939,0.77
0.1,0.0,2.0,0.235,0.0,0.765
0.2,0.0,2.0,0.235,0.3379844392285819,0.765
0.5,0.0,2.0,0.235,0.6997869331637218,0.765
1.0,0.0,2.0,0.235,0.7474592423067763,0.765
2.0,0.0,2.0,0.235,0.7603753989052717,0.765
0.1,0.0,2.0,0.24,0.0,0.76
0.2,0.0,2.0,0.24,0.3056113441895011,0.76
0.5,0.0,2.0,0.24,0.691625707043922,0.76
1.0,0.0,2.0,0.24,0.7415412099088865,0.76
2.0,0.0,2.0,0.24,0.755121231511102,0.76
0.1,0.0,2.0,0.245,0.0,0.755
0.2,0.0,2.0,0.245,0.27098414800607074,0.755
0.5,0.0,2.0,0.245,0.6834122897873116,0.755
1.0,0.0,2.0,0.245,0.7356028704022414,0.755
2.0,0.0,2.0,0.245,0.7498603063833348,0.755
0.1,0.0,2.0,0.25,0.0,0.75
0.2,0.0,2.0,0.25,0.234697199729346,0.75
0.5,0.0,2.0,0.25,0.6751489244325324,0.75
1.0,0.0,2.0,0.25,0.7296447996714033,0.75
2.0,0.0,2.0,0.25,0.7445927247994837,0.75
0.1,0.0,2.0,0.255,0.0,0.745
0.2,0.0,2.0,0.255,0.1971169918806539,0.745
0.5,0.0,2.0,0.255,0.666837836496065,0.745
1.0,0.0,2.0,0.255,0.7236675902297888,0.745
2.0,0.0,2.0,0.255,0.7393185954183953,0.745
0.1,0.0,2.0,0.26,0.0,0.74
0.2,0.0,2.0,0.26,0.15855057633456993,0.74
0.5,0.0,2.0,0.26,0.6584812306577261,0.74
1.0,0.0,2.0,0.26,0.7176718496772903,0.74
2.0,0.0,2.0,0.26,0.7340380340238108,0.74
0.1,0.0,2.0,0.265,0.0,0.735
0.2,0.0,2.0,0.265,0.11928433134342786,0.735
0.5,0.0,2.0,0.265,0.6500812878641242,0.735
1.0,0.0,2.0,0.265,0.711658199232108,0.735
2.0,0.0,2.0,0.265,0.7287511632675844,0.735
0.1,0.0,2.0,0.27,0.0,0.73
0.2,0.0,2.0,0.27,0.07959394411721143,0.73
0.5,0.0,2.0,0.27,0.6416401628049824,0.73
1.0,0.0,2.0,0.27,0.7056272723373302,0.73
2.0,0.0,2.0,0.27,0.7234581124133128,0.73
0.1,0.0,2.0,0.275,0.0,0.725
0.2,0.0,2.0,0.275,0.03974695830905972,0.725
0.5,0.0,2.0,0.275,0.6331599817205571,0.725
1.0,0.0,2.0,0.275,0.6995797133421908,0.725
2.0,0.0,2.0,0.275,0.7181590170810395,0.725
0.1,0.0,2.0,0.28,0.0,0.72
0.2,0.0,2.0,0.28,0.0,0.72
0.5,0.0,2.0,0.28,0.6246428405014578,0.72
1.0,0.0,2.0,0.28,0.6935161762573587,0.72
2.0,0.0,2.0,0.28,0.7128540189937173,0.72
0.1,0.0,2.0,0.285,0.0,0.7150000000000001
0.2,0.0,2.0,0.285,0.0,0.7150000000000001
0.5,0.0,2.0,0.285,0.6160908030452334,0.7150000000000001
1.0,0.0,2.0,0.285,0.6874373235831683,0.7150000000000001
2.0,0.0,2.0,0.285,0.7075432657254871,0.7150000000000001
0.1,0.0,2.0,0.29,0.0,0.71
0.2,0.0,2.0,0.29,0.0,0.71
0.5,0.0,2.0,0.29,0.6075059146188562,0.71
1.0,0.0,2.0,0.29,0.6813438252184235,0.71
2.0,0.0,2.0,0.29,0.7022269104540132,0.71
0.1,0.0,2.0,0.295,0.0,0.7050000000000001
0.2,0.0,2.0,0.295,0.0,0.7050000000000001
0.5,0.0,2.0,0.295,0.598890135096515,0.7050000000000001
1.0,0.0,2.0,0.295,0.675236357405024,0.7050000000000001
2.0,0.0,2.0,0.295,0.6969051117168525,0.7050000000000001
0.1,0.0,2.0,0.3,0.0,0.7
0.2,0.0,2.0,0.3,0.0,0.7
0.5,0.0,2.0,0.3,0.5902454482842046,0.7
1.0,0.0,2.0,0.3,0.669115601784011,0.7
2.0,0.0,2.0,0.3,0.6915780331681077,0.7
0.1,0.0,2.0,0.305,0.0,0.6950000000000001
0.2,0.0,2.0,0.305,0.0,0.6950000000000001
0.5,0.0,2.0,0.305,0.5815737769273427,0.6950000000000001
1.0,0.0,2.0,0.305,0.6629822444975586,0.6950000000000001
2.0,0.0,2.0,0.305,0.6862458433427132,0.6950000000000001
0.1,0.0,2.0,0.31,0.0,0.69
0.2,0.0,2.0,0.31,0.0,0.69
0.5,0.0,2.0,0.31,0.5728770065026985,0.69
1.0,0.0,2.0,0.31,0.656836975351093,0.69
