rho,delta,beta,alpha,mmse,mse_ridge_opt
1.0,0.0,2.0,0.115,0.8823728154939772,0.885
0.2,0.0,1.0,0.12,0.8416517216065984,0.88
1.0,0.0,1.0,0.12,0.8785100698991267,0.88
0.2,0.0,2.0,0.12,0.80078370182379,0.88
1.0,0.0,2.0,0.12,0.8770395116706499,0.88
0.2,0.0,1.0,0.125,0.8321661229907906,0.875
1.0,0.0,1.0,0.125,0.8733287209418832,0.875
0.2,0.0,2.0,0.125,0.7867752327655955,0.875
1.0,0.0,2.0,0.125,0.8716818671648989,0.875
0.2,0.0,1.0,0.13,0.8224140818552496,0.87
1.0,0.0,1.0,0.13,0.8681346016260267,0.87
0.2,0.0,2.0,0.13,0.7722739542622308,0.87
1.0,0.0,2.0,0.13,0.8662995097595307,0.87
0.2,0.0,1.0,0.135,0.8123987809599176,0.865
1.0,0.0,1.0,0.135,0.862927395354058,0.865
0.2,0.0,2.0,0.135,0.7572852430397445,0.865
1.0,0.0,2.0,0.135,0.8608921230566385,0.865
0.2,0.0,1.0,0.14,0.802123712318856,0.86
1.0,0.0,1.0,0.14,0.8577069580937047,0.86
0.2,0.0,2.0,0.14,0.7418137578880761,0.86
1.0,0.0,2.0,0.14,0.855459450366916,0.86
0.2,0.0,1.0,0.145,0.7915929376783979,0.855
1.0,0.0,1.0,0.145,0.852473072230239,0.855
0.2,0.0,2.0,0.145,0.7258630247045099,0.855
1.0,0.0,2.0,0.145,0.8500012871306513,0.855
0.2,0.0,1.0,0.15,0.7808105113964914,0.85
1.0,0.0,1.0,0.15,0.8472256256615893,0.85
0.2,0.0,2.0,0.15,0.709435181996886,0.85
1.0,0.0,2.0,0.15,0.8445174844952706,0.85
0.2,0.0,1.0,0.155,0.7697808219156217,0.845
1.0,0.0,1.0,0.155,0.8419644789381935,0.845
0.2,0.0,2.0,0.155,0.6925306245421519,0.845
1.0,0.0,2.0,0.155,0.8390079469921184,0.845
0.2,0.0,1.0,0.16,0.7585081848563012,0.84
1.0,0.0,1.0,0.16,0.8366895371198939,0.84
0.2,0.0,2.0,0.16,0.6751476271406385,0.84
1.0,0.0,2.0,0.16,0.8334726312001585,0.84
0.2,0.0,1.0,0.165,0.7469969555573992,0.835
1.0,0.0,1.0,0.165,0.8314007354634037,0.835
0.2,0.0,2.0,0.165,0.6572819116165383,0.835
1.0,0.0,2.0,0.165,0.8279115442594278,0.835
0.2,0.0,1.0,0.17,0.7352513307327866,0.83
1.0,0.0,1.0,0.17,0.8260980112932017,0.83
0.2,0.0,2.0,0.17,0.6389261294929849,0.83
1.0,0.0,2.0,0.17,0.8223247422514832,0.83
0.2,0.0,1.0,0.175,0.7232754167217443,0.825
1.0,0.0,1.0,0.175,0.8207813370266207,0.825
0.2,0.0,2.0,0.175,0.6200692249890313,0.825
1.0,0.0,2.0,0.175,0.8167123284647565,0.825
0.2,0.0,1.0,0.18,0.7110730223236492,0.8200000000000001
1.0,0.0,1.0,0.18,0.8154507039302188,0.8200000000000001
0.2,0.0,2.0,0.18,0.6006956299603357,0.8200000000000001
1.0,0.0,2.0,0.18,0.8110744515630822,0.8200000000000001
0.2,0.0,1.0,0.185,0.6986476897158276,0.815
1.0,0.0,1.0,0.185,0.8101061278496716,0.815
0.2,0.0,2.0,0.185,0.5807842454148147,0.815
1.0,0.0,2.0,0.185,0.8054113036755649,0.815
0.2,0.0,1.0,0.19,0.686002651389165,0.81
1.0,0.0,1.0,0.19,0.8047476216772992,0.81
0.2,0.0,2.0,0.19,0.5603069561389713,0.81
1.0,0.0,2.0,0.19,0.7997231184228648,0.81
0.2,0.0,1.0,0.195,0.6731406403035549,0.8049999999999999
1.0,0.0,1.0,0.195,0.799375287741179,0.8049999999999999
0.2,0.0,2.0,0.195,0.539226989159695,0.8049999999999999
1.0,0.0,2.0,0.195,0.7940101689100376,0.8049999999999999
0.2,0.0,1.0,0.2,0.6600640102012403,0.8
1.0,0.0,1.0,0.2,0.7939891807950163,0.8
0.2,0.0,2.0,0.2,0.5174961520355468,0.8
1.0,0.0,2.0,0.2,0.7882727656792026,0.8
0.2,0.0,1.0,0.205,0.6467745185512324,0.795
1.0,0.0,1.0,0.205,0.7885893810996718,0.795
0.2,0.0,2.0,0.205,0.4950513810155096,0.795
1.0,0.0,2.0,0.205,0.7825112546551087,0.795
0.2,0.0,1.0,0.21,0.6332732802746053,0.79
1.0,0.0,1.0,0.21,0.7831760024121901,0.79
0.2,0.0,2.0,0.21,0.47180946454063655,0.79
1.0,0.0,2.0,0.21,0.7767260150942863,0.79
0.2,0.0,1.0,0.215,0.6195609832151433,0.785
1.0,0.0,1.0,0.215,0.7777491972556078,0.785
0.2,0.0,2.0,0.215,0.4476595474283894,0.785
1.0,0.0,2.0,0.215,0.7709174575477961,0.785
0.2,0.0,1.0,0.22,0.6056371157958413,0.78
1.0,0.0,1.0,0.22,0.772309100035644,0.78
0.2,0.0,2.0,0.22,0.4224516728624681,0.78
1.0,0.0,2.0,0.22,0.7650860218502527,0.78
0.2,0.0,1.0,0.225,0.5915005557643473,0.775
1.0,0.0,1.0,0.225,0.7668558601031847,0.775
0.2,0.0,2.0,0.225,0.3959795995712524,0.775
1.0,0.0,2.0,0.225,0.7592321751451868,0.775
0.2,0.0,1.0,0.23,0.5771491055555438,0.77
1.0,0.0,1.0,0.23,0.7613897135493852,0.77
0.2,0.0,2.0,0.23,0.3679558234870053,0.77
1.0,0.0,2.0,0.23,0.7533564099555365,0.77
0.2,0.0,1.0,0.235,0.562579317400989,0.765
1.0,0.0,1.0,0.235,0.7559107943978116,0.765
0.2,0.0,2.0,0.235,0.3379844392285819,0.765
1.0,0.0,2.0,0.235,0.7474592423067763,0.765
0.2,0.0,1.0,0.24,0.5477865016617525,0.76
1.0,0.0,1.0,0.24,0.7504193537144023,0.76
0.2,0.0,2.0,0.24,0.3056113441895011,0.76
1.0,0.0,2.0,0.24,0.7415412099088865,0.76
0.2,0.0,1.0,0.245,0.5327642537969549,0.755
1.0,0.0,1.0,0.245,0.7449155902525707,0.755
0.2,0.0,2.0,0.245,0.27098414800607074,0.755
1.0,0.0,2.0,0.245,0.7356028704022414,0.755
0.2,0.0,1.0,0.25,0.517504329309411,0.75
1.0,0.0,1.0,0.25,0.7393997750499437,0.75
0.2,0.0,2.0,0.25,0.234697199729346,0.75
1.0,0.0,2.0,0.25,0.7296447996714033,0.75
0.2,0.0,1.0,0.255,0.5019962272972613,0.745
1.0,0.0,1.0,0.255,0.7338721330436524,0.745
0.2,0.0,2.0,0.255,0.1971169918806539,0.745
1.0,0.0,2.0,0.255,0.7236675902297888,0.745
0.2,0.0,1.0,0.26,0.4862267070904476,0.74
1.0,0.0,1.0,0.26,0.7283328958873918,0.74
0.2,0.0,2.0,0.26,0.15855057633456993,0.74
1.0,0.0,2.0,0.26,0.7176718496772903,0.74
0.2,0.0,1.0,0.265,0.47017916701456197,0.735
1.0,0.0,1.0,0.265,0.7227824425299065,0.735
0.2,0.0,2.0,0.265,0.11928433134342786,0.735
1.0,0.0,2.0,0.265,0.711658199232108,0.735
0.2,0.0,1.0,0.27,0.45383278881010114,0.73
1.0,0.0,1.0,0.27,0.7172209448674944,0.73
0.2,0.0,2.0,0.27,0.07959394411721143,0.73
1.0,0.0,2.0,0.27,0.7056272723373302,0.73
0.2,0.0,1.0,0.275,0.4371616080695505,0.725
1.0,0.0,1.0,0.275,0.7116487938264547,0.725
0.2,0.0,2.0,0.275,0.03974695830905972,0.725
1.0,0.0,2.0,0.275,0.6995797133421908,0.725
0.2,0.0,1.0,0.28,0.4201328156045092,0.72
1.0,0.0,1.0,0.28,0.7060662134881863,0.72
0.2,0.0,2.0,0.28,0.0,0.72
1.0,0.0,2.0,0.28,0.6935161762573587,0.72
0.2,0.0,1.0,0.285,0.4027048360029246,0.7150000000000001
1.0,0.0,1.0,0.285,0.7004735610625853,0.7150000000000001
0.2,0.0,2.0,0.285,0.0,0.7150000000000001
1.0,0.0,2.0,0.285,0.6874373235831683,0.7150000000000001
0.2,0.0,1.0,0.29,0.3848242824916953,0.71
1.0,0.0,1.0,0.29,0.6948711268226544,0.71
0.2,0.0,2.0,0.29,0.0,0.71
1.0,0.0,2.0,0.29,0.6813438252184235,0.71
0.2,0.0,1.0,0.295,0.3664215752200376,0.7050000000000001
1.0,0.0,1.0,0.295,0.689259274792863,0.7050000000000001
0.2,0.0,2.0,0.295,0.0,0.7050000000000001
1.0,0.0,2.0,0.295,0.675236357405024,0.7050000000000001
0.2,0.0,1.0,0.3,0.34740439514921106,0.7
1.0,0.0,1.0,0.3,0.6836383134012252,0.7
0.2,0.0,2.0,0.3,0.0,0.7
1.0,0.0,2.0,0.3,0.669115601784011,0.7
0.2,0.0,1.0,0.305,0.32764720256378144,0.6950000000000001
1.0,0.0,1.0,0.305,0.6780085910260085,0.6950000000000001
0.2,0.0,2.0,0.305,0.0,0.6950000000000001
1.0,0.0,2.0,0.305,0.6629822444975586,0.6950000000000001
0.2,0.0,1.0,0.31,0.3069749962321954,0.69
1.0,0.0,1.0,0.31,0.6723704802044244,0.69
0.2,0.0,2.0,0.31,0.0,0.69
1.0,0.0,2.0,0.31,0.656836975351093,0.69
0.2,0.0,1.0,0.315,0.28513518141756167,0.685
1.0,0.0,1.0,0.315,0.6667243200112188,0.685
0.2,0.0,2.0,0.315,0.0,0.685
1.0,0.0,2.0,0.315,0.6506804870389584,0.685
0.2,0.0,1.0,0.32,0.26175463990737413,0.6799999999999999
1.0,0.0,1.0,0.32,0.6610704638007541,0.6799999999999999
0.2,0.0,2.0,0.32,0.0,0.6799999999999999
1.0,0.0,2.0,0.32,0.644513474427885,0.6799999999999999
0.2,0.0,1.0,0.325,0.23629931097361678,0.675
1.0,0.0,1.0,0.325,0.6554092746799604,0.675
0.2,0.0,2.0,0.325,0.0,0.675
1.0,0.0,2.0,0.325,0.6383366338956628,0.675
0.2,0.0,1.0,0.33,0.20842163725553164,0.6699999999999999
1.0,0.0,1.0,0.33,0.6497410328877447,0.6699999999999999
0.2,0.0,2.0,0.33,0.0,0.6699999999999999
1.0,0.0,2.0,0.33,0.6321506627223484,0.6699999999999999
0.2,0.0,1.0,0.335,0.17843941386657758,0.665
1.0,0.0,1.0,0.335,0.6440663915223851,0.665
0.2,0.0,2.0,0.335,0.0,0.665
1.0,0.0,2.0,0.335,0.6259562585314128,0.665
0.2,0.0,1.0,0.34,0.14650457950080564,0.6599999999999999
1.0,0.0,1.0,0.34,0.6383854722358099,0.6599999999999999
0.2,0.0,2.0,0.34,0.0,0.6599999999999999
1.0,0.0,2.0,0.34,0.6197541319013953,0.6599999999999999
0.2,0.0,1.0,0.345,0.11267745815314045,0.655
1.0,0.0,1.0,0.345,0.6326987117392137,0.655
0.2,0.0,2.0,0.345,0.0,0.655
1.0,0.0,2.0,0.345,0.6135449495846768,0.655
0.2,0.0,1.0,0.35,0.07698375541537761,0.65
1.0,0.0,1.0,0.35,0.6270065158921314,0.65
0.2,0.0,2.0,0.35,0.0,0.65
1.0,0.0,2.0,0.35,0.6073294252287719,0.65
0.2,0.0,1.0,0.355,0.03942821520423301,0.645
1.0,0.0,1.0,0.355,0.621309244650849,0.645
0.2,0.0,2.0,0.355,0.0,0.645
1.0,0.0,2.0,0.355,0.6011082529741718,0.645
0.2,0.0,1.0,0.36,0.00013909899535680115,0.64
1.0,0.0,1.0,0.36,0.6156073043782941,0.64
0.2,0.0,2.0,0.36,0.0,0.64
1.0,0.0,2.0,0.36,0.5948821251879877,0.64
0.2,0.0,1.0,0.365,0.0,0.635
1.0,0.0,1.0,0.365,0.6099010834624694,0.635
0.2,0.0,2.0,0.365,0.0,0.635
1.0,0.0,2.0,0.365,0.5886517321551489,0.635
0.2,0.0,1.0,0.37,0.0,0.63
1.0,0.0,1.0,0.37,0.6041909754517949,0.63
0.2,0.0,2.0,0.37,0.0,0.63
1.0,0.0,2.0,0.37,0.5824177618013655,0.63
