rho,delta,beta,alpha,mmse,mse_ridge_opt
0.2,0.1,1.0,0.0,1.0,1.0
1.0,0.1,1.0,0.0,1.0,1.0
0.2,0.1,2.0,0.0,1.0,1.0
1.0,0.1,2.0,0.0,1.0,1.0
0.2,0.1,1.0,0.01,0.9908982192947122,0.9909166603063145
1.0,0.1,1.0,0.01,0.9909158222820486,0.9909166603063145
0.2,0.1,2.0,0.01,0.9908797701760332,0.9909166603063145
1.0,0.1,2.0,0.01,0.9909154881371036,0.9909166603063145
0.2,0.1,1.0,0.02,0.9817015786317225,0.9818486873657627
1.0,0.1,1.0,0.02,0.9818428605605068,0.9818486873657627
0.2,0.1,2.0,0.02,0.9815528319633889,0.9818486873657627
1.0,0.1,2.0,0.02,0.9818371934827737,0.9818486873657627
0.2,0.1,1.0,0.03,0.9723038759737284,0.9727964298877411
1.0,0.1,1.0,0.03,0.9727770144473074,0.9727964298877411
0.2,0.1,2.0,0.03,0.9717991666079369,0.9727964298877411
1.0,0.1,2.0,0.03,0.9727575835553248,0.9727964298877411
0.2,0.1,1.0,0.04,0.9626013725573778,0.9637602458033007
1.0,0.1,1.0,0.04,0.9637146796345522,0.9637602458033007
0.2,0.1,2.0,0.04,0.9613960495793719,0.9637602458033007
1.0,0.1,2.0,0.04,0.9636691455775603,0.9637602458033007
0.2,0.1,1.0,0.05,0.9524943496469265,0.9547405025104273
1.0,0.1,1.0,0.05,0.954652665299593,0.9547405025104273
0.2,0.1,2.0,0.05,0.950122082077028,0.9547405025104273
1.0,0.1,2.0,0.05,0.954564905415268,0.9547405025104273
0.2,0.1,1.0,0.06,0.9418885272884797,0.9457375771237966
1.0,0.1,1.0,0.06,0.9455879147196122,0.9457375771237966
0.2,0.1,2.0,0.06,0.9377688569353785,0.9457375771237966
1.0,0.1,2.0,0.06,0.9454384379692075,0.9457375771237966
0.2,0.1,1.0,0.07,0.930699149092451,0.9367518567288476
1.0,0.1,1.0,0.07,0.936517626778854,0.9367518567288476
0.2,0.1,2.0,0.07,0.9241579331425158,0.9367518567288476
1.0,0.1,2.0,0.07,0.9362838917420033,0.9367518567288476
0.2,0.1,1.0,0.08,0.9188542532615023,0.9277837386399848
1.0,0.1,1.0,0.08,0.9274393260353639,0.9277837386399848
0.2,0.1,2.0,0.08,0.9091570002165132,0.9277837386399848
1.0,0.1,2.0,0.08,0.9270960154074849,0.9277837386399848
0.2,0.1,1.0,0.09,0.906298815385488,0.9188336306626883
1.0,0.1,1.0,0.09,0.918350801182237,0.9188336306626883
0.2,0.1,2.0,0.09,0.892688496699072,0.9188336306626883
1.0,0.1,2.0,0.09,0.9178701830866678,0.9188336306626883
0.2,0.1,1.0,0.1,0.8929957656035619,0.9099019513592785
1.0,0.1,1.0,0.1,0.9092501672665924,0.9099019513592785
0.2,0.1,2.0,0.1,0.8747289027598347,0.9099019513592785
1.0,0.1,2.0,0.1,0.9086024163922973,0.9099019513592785
0.2,0.1,1.0,0.11,0.8789272690270371,0.9009891303180336
1.0,0.1,1.0,0.11,0.9001358103364616,0.9009891303180336
0.2,0.1,2.0,0.11,0.8553009552205504,0.9009891303180336
1.0,0.1,2.0,0.11,0.8992894016987406,0.9009891303180336
0.2,0.1,1.0,0.12,0.8640931212418284,0.8920956084253278
1.0,0.1,1.0,0.12,0.8910064019392873,0.8920956084253278
0.2,0.1,2.0,0.12,0.8344629551716604,0.8920956084253278
1.0,0.1,2.0,0.12,0.8899285013821685,0.8920956084253278
0.2,0.1,1.0,0.13,0.8485084958493262,0.8832218381404011
1.0,0.1,1.0,0.13,0.8818609805803519,0.8832218381404011
0.2,0.1,2.0,0.13,0.8122983458524523,0.8832218381404011
1.0,0.1,2.0,0.13,0.8805177580969827,0.8832218381404011
0.2,0.1,1.0,0.14,0.8322011713740698,0.874368283772331
1.0,0.1,1.0,0.14,0.8726988228703889,0.874368283772331
0.2,0.1,2.0,0.14,0.7889071413783665,0.874368283772331
1.0,0.1,2.0,0.14,0.8710558915213583,0.874368283772331
0.2,0.1,1.0,0.15,0.8152086526112544,0.8655354217587146
1.0,0.1,1.0,0.15,0.863519497217934,0.8655354217587146
0.2,0.1,2.0,0.15,0.7643995955144305,0.8655354217587146
1.0,0.1,2.0,0.15,0.8615422729077475,0.8655354217587146
0.2,0.1,1.0,0.16,0.7975756983294592,0.8567237409455183
1.0,0.1,1.0,0.16,0.8543230195207532,0.8567237409455183
0.2,0.1,2.0,0.16,0.7388919089389392,0.8567237409455183
1.0,0.1,2.0,0.16,0.8519769607392864,0.8567237409455183
0.2,0.1,1.0,0.17,0.7793520836684518,0.8479337428674869
1.0,0.1,1.0,0.17,0.8451094940631729,0.8479337428674869
0.2,0.1,2.0,0.17,0.712503579967511,0.8479337428674869
1.0,0.1,2.0,0.17,0.8423605996490902,0.8479337428674869
0.2,0.1,1.0,0.18,0.7605909913328106,0.8391659420284376
1.0,0.1,1.0,0.18,0.8358793964488431,0.8391659420284376
0.2,0.1,2.0,0.18,0.6853560098445313,0.8391659420284376
1.0,0.1,2.0,0.18,0.8326944360857165,0.8391659420284376
0.2,0.1,1.0,0.19,0.7413476895097768,0.8304208661806927
1.0,0.1,1.0,0.19,0.8266335103858373,0.8304208661806927
0.2,0.1,2.0,0.19,0.6575720424704878,0.8304208661806927
1.0,0.1,2.0,0.19,0.8229802705914286,0.8304208661806927
0.2,0.1,1.0,0.2,0.7216786049695214,0.8216990566028302
1.0,0.1,1.0,0.2,0.817372817611471,0.8216990566028302
0.2,0.1,2.0,0.2,0.6292762196737233,0.8216990566028302
1.0,0.1,2.0,0.2,0.8132204172371676,0.8216990566028302
0.2,0.1,1.0,0.21,0.7016406366059822,0.813001068374849
1.0,0.1,1.0,0.21,0.8080985873795958,0.813001068374849
0.2,0.1,2.0,0.21,0.6005954749992666,0.813001068374849
1.0,0.1,2.0,0.21,0.8034176603061594,0.813001068374849
0.2,0.1,1.0,0.22,0.6812906837050298,0.8043274706497561
1.0,0.1,1.0,0.22,0.7988122668114154,0.8043274706497561
0.2,0.1,2.0,0.22,0.5716604491307187,0.8043274706497561
1.0,0.1,2.0,0.22,0.7935752093687313,0.8043274706497561
0.2,0.1,1.0,0.23,0.6606856972039326,0.7956788469204984
1.0,0.1,1.0,0.23,0.7895155496480752,0.7956788469204984
0.2,0.1,2.0,0.23,0.5426068269073621,0.7956788469204984
1.0,0.1,2.0,0.23,0.7836966538299495,0.7956788469204984
0.2,0.1,1.0,0.24,0.6398818904084287,0.7870557952810575
1.0,0.1,1.0,0.24,0.7802105098874743,0.7870557952810575
0.2,0.1,2.0,0.24,0.5135770398909576,0.7870557952810575
1.0,0.1,2.0,0.24,0.7737859178091965,0.7870557952810575
0.2,0.1,1.0,0.25,0.6189352255255762,0.7784589286804264
1.0,0.1,1.0,0.25,0.7708990256091903,0.7784589286804264
0.2,0.1,2.0,0.25,0.48472193657025087,0.7784589286804264
1.0,0.1,2.0,0.25,0.7638472161818831,0.7784589286804264
0.2,0.1,1.0,0.26,0.5979013255405052,0.7698888751680797
1.0,0.1,1.0,0.26,0.7615834269524704,0.7698888751680797
0.2,0.1,2.0,0.26,0.45620225078122156,0.7698888751680797
1.0,0.1,2.0,0.26,0.7538850123549394,0.7698888751680797
0.2,0.1,1.0,0.27,0.57683535786436,0.7613462781294361
1.0,0.1,1.0,0.27,0.752266123892058,0.7613462781294361
0.2,0.1,2.0,0.27,0.4281895656457658,0.7613462781294361
1.0,0.1,2.0,0.27,0.7439039782320587,0.7613462781294361
0.2,0.1,1.0,0.28,0.5557921789720226,0.7528317965096906
1.0,0.1,1.0,0.28,0.7429495946804858,0.7528317965096906
0.2,0.1,2.0,0.28,0.4008663432151218,0.7528317965096906
1.0,0.1,2.0,0.28,0.7339089566744013,0.7528317965096906
0.2,0.1,1.0,0.29,0.5348263888059515,0.7443461050242736
1.0,0.1,1.0,0.29,0.7336367675617027,0.7443461050242736
0.2,0.1,2.0,0.29,0.37442460246032183,0.7443461050242736
1.0,0.1,2.0,0.29,0.7239049266371751,0.7443461050242736
0.2,0.1,1.0,0.3,0.5139924217014074,0.7358898943540674
1.0,0.1,1.0,0.3,0.7243301383350453,0.7358898943540674
0.2,0.1,2.0,0.3,0.3490630279858228,0.7358898943540674
1.0,0.1,2.0,0.3,0.7138969710573644,0.7358898943540674
0.2,0.1,1.0,0.31,0.4933443868385773,0.7274638713233743
